Testing SD card write operations: 2022-05-30 08:04:00
2022-05-30 08:04:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '949b1f11977fbc0d3ac4e8856ef8770640f8df7420ac7742a7ccc1712f119d07', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:34: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9358f3b519a1e81c4dbec7809f88a3110c9cdfb2680238bf1c3da2adf1aab2e9', 'rssi': -86, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '29e2cc3f34af4dedb749774fd30de2eba43eb79d05cea4b921b2af68644ba00b', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-30 08:04:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '649a3b9b76958536d6ef6b5779cc4ee20ed281f03a972a4c70334596ebd69d18', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08fdc7398520e5b6992908fdf50d36c7229041061d5798c5d84e5442867349b5', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab98cbead71b86a5332b7f10f1d004798752f40a1a63b7db040244e7591b115f', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8a93077ebc50b2394f6ba73fc2d0c399f73abee7da05e7074158ca364c373a1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-30 08:04:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '93dcc9ab2f9ded996adac23186b496a3ff0bc12009334cddf8475822c3d2c6ad', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
