Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:17:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'df0951515e0b', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'df0951515e0b', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'601caf1c0a95', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:17:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'601caf1c0a95', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:17:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -34, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7f9030b0ef95', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'def855965ff7', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
