Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:20:28: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:20:30: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:20:32: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:20:34: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:20:35: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:20:37: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:20:39: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-49}
2022-06-25 14:20:41: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:20:43: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:20:45: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:20:46: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:20:46: {'ssid':'SFR_5D48', 'bssid':b'\xe0\xa1\xd7\x0b]L', 'sec':2, 'channel':1, 'rssi':-94}
2022-06-25 14:20:48: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:20:50: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:20:52: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:20:54: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:20:56: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:20:59: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:21:01: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:21:03: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:21:05: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:21:07: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:21:09: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:21:11: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:21:12: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:21:14: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:21:16: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:18: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:21:20: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:23: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:21:25: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:27: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:21:29: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:31: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:33: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:21:35: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:21:36: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:21:38: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:21:40: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:42: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 14:21:44: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-59}
2022-06-25 14:21:46: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:21:47: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:21:49: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:21:51: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:21:53: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:21:55: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-50}
2022-06-25 14:21:57: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:21:59: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:22:00: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:22:02: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
