Testing SD card write operations: 2022-06-26 11:46:39
2022-06-26 11:47:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b810c374386adf2df46f425ef44c8e2505d53fd2018dfd9bab93aa4b2b76699', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:47:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '72a2addd40b458bf85b38326f87818e368d79ba8611b615c7cb8b13ead476f7c', 'rssi': -35, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8001ac2da7d5cc04c8d927d2ea37cab8b64df86fdecb2c4d76f1d9b2eb659cc0', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8001ac2da7d5cc04c8d927d2ea37cab8b64df86fdecb2c4d76f1d9b2eb659cc0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8001ac2da7d5cc04c8d927d2ea37cab8b64df86fdecb2c4d76f1d9b2eb659cc0', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b810c374386adf2df46f425ef44c8e2505d53fd2018dfd9bab93aa4b2b76699', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:47:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '72a2addd40b458bf85b38326f87818e368d79ba8611b615c7cb8b13ead476f7c', 'rssi': -34, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a342d8fc64596634ab9aa6db4e1b8c582cd585a3e875e15d25409b6eb8ce4cfe', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:47:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f3ccc95e49e131255a56c9798a069b864f36f5aca9e324e6bd598520cc13ab8', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b146ee26d1c0d78d1584feae78a5ca41c264891b0ebfdcd07dcbca48866c5fc2', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8001ac2da7d5cc04c8d927d2ea37cab8b64df86fdecb2c4d76f1d9b2eb659cc0', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
