Testing SD card write operations: 2022-06-26 11:46:23
2022-06-26 11:48:32: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:48:32: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-26 11:48:33: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:48:33: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-64}
2022-06-26 11:48:35: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:48:37: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:48:39: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:48:41: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-26 11:48:43: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-26 11:48:45: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:48:46: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:48:48: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-26 11:48:50: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:48:50: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-26 11:48:52: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:48:52: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-57}
2022-06-26 11:48:56: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:48:56: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-68}
2022-06-26 11:48:57: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:48:59: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:01: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:03: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:05: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:07: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:09: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:10: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
