Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:07:41: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-63}
2022-05-20 21:07:43: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-71}
2022-05-20 21:07:45: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-63}
2022-05-20 21:07:47: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-81}
2022-05-20 21:07:48: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-86}
2022-05-20 21:07:50: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-78}
2022-05-20 21:07:52: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-75}
2022-05-20 21:11:15: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-92}
2022-05-20 21:11:19: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-92}
2022-05-20 21:11:20: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-20 21:11:22: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-90}
2022-05-20 21:11:24: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-92}
2022-05-20 21:11:26: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-91}
