Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:55:02: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -76, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:55:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'41cf96835706', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4009d552ca3', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4009d552ca3', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c404d3797b86', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
