Testing SD card write operations: 2022-06-26 07:30:23
2022-06-26 07:31:32: {'Acceleration': '(0.08544922, 0.166748, 0.9936523)', 'Roll': '-4.915063', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-9.491838'}
2022-06-26 07:31:33: {'Acceleration': '(0.0682373, 0.1090088, 1.025757)', 'Roll': '-3.805928', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.052865'}
2022-06-26 07:31:34: {'Acceleration': '(0.07580566, 0.105835, 1.020508)', 'Roll': '-4.264523', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-8.260908'}
2022-06-26 07:31:35: {'Acceleration': '(0.0625, 0.114624, 1.025757)', 'Roll': '-4.285454', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-8.596733'}
2022-06-26 07:31:35: {'Acceleration': '(0.06774902, 0.1414795, 1.014771)', 'Roll': '-3.819564', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.858137'}
2022-06-26 07:31:36: {'Acceleration': '(0.06323242, 0.1270752, 1.006592)', 'Roll': '-3.594502', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-7.181123'}
2022-06-26 07:31:37: {'Acceleration': '(0.0847168, 0.105957, 1.033936)', 'Roll': '-4.684137', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.8318'}
2022-06-26 07:31:38: {'Acceleration': '(0.0625, 0.1363525, 1.019409)', 'Roll': '-3.508414', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-7.604349'}
2022-06-26 07:31:39: {'Acceleration': '(0.0670166, 0.1351318, 0.9938965)', 'Roll': '-3.857509', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.538907'}
2022-06-26 07:31:40: {'Acceleration': '(0.0859375, 0.1268311, 1.038818)', 'Roll': '-5.152987', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.176186'}
2022-06-26 07:31:41: {'Acceleration': '(0.06469727, 0.1367188, 1.026245)', 'Roll': '-3.607306', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-7.187547'}
2022-06-26 07:31:41: {'Acceleration': '(0.06140137, 0.1262207, 1.015015)', 'Roll': '-3.46178', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.075742'}
2022-06-26 07:31:43: {'Acceleration': '(0.07189941, 0.1275635, 0.9888916)', 'Roll': '-4.158491', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-7.331218'}
2022-06-26 07:31:43: {'Acceleration': '(0.09228516, 0.1431885, 1.032227)', 'Roll': '-5.108887', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.866579'}
2022-06-26 07:31:44: {'Acceleration': '(0.06762695, 0.1247559, 1.013184)', 'Roll': '-3.818656', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-7.00421'}
2022-06-26 07:31:45: {'Acceleration': '(0.07519531, 0.1253662, 1.026001)', 'Roll': '-4.191696', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.947939'}
2022-06-26 07:31:46: {'Acceleration': '(0.1021729, 0.1119385, 1.011963)', 'Roll': '-5.765332', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.28045'}
2022-06-26 07:31:47: {'Acceleration': '(0.0904541, 0.1108398, 0.9694824)', 'Roll': '-5.327115', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.860586'}
2022-06-26 07:31:48: {'Acceleration': '(0.08691406, 0.1497803, 0.9486084)', 'Roll': '-5.234978', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-8.935805'}
2022-06-26 07:31:49: {'Acceleration': '(0.1102295, 0.1373291, 1.007935)', 'Roll': '-6.246418', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.761712'}
2022-06-26 07:31:49: {'Acceleration': '(0.08813477, 0.1253662, 1.019897)', 'Roll': '-4.938963', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.384206'}
2022-06-26 07:31:50: {'Acceleration': '(0.05664063, 0.1185303, 1.007813)', 'Roll': '-4.473737', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-7.536268'}
2022-06-26 07:31:51: {'Acceleration': '(0.1055908, 0.1315918, 0.9777832)', 'Roll': '-6.163486', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.174022'}
2022-06-26 07:31:52: {'Acceleration': '(0.07116699, 0.1230469, 0.9680176)', 'Roll': '-4.102146', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.405696'}
