Testing SD card write operations: 2022-06-26 07:30:17
2022-06-26 07:31:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f8980d10cca08a71b1b9489cbfca587260995f371c061b767d8d3f7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:06: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '6bc658f34258d16eb31fc2cb1266f8b4d73a9830cd561ba497850554', 'rssi': -91, 'name': 'Tb91', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -10, 'adv_tx_pwr': 3}
2022-06-26 07:31:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '914e13d25787a38701ca26be09bef40a8adcd4263519a4e41b7e7033', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:07: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2c434a2852100bcc9d1f50f0f35eb4437f3657a3b7d9a0635bf54537', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:31:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f8980d10cca08a71b1b9489cbfca587260995f371c061b767d8d3f7', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '26fa1e1e01a9530493c8509c949a57f4dee001b0ad790c3f7a8a3f14', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 07:31:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:11: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '8305af8cb5c36a8f034395f1fd3904202f8ca8045e78a07016b0adfc', 'rssi': -79, 'name': 'Tb90', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
