File is openned: 2022-04-04 01:13:50
2022-04-04 01:16:15: {'Acceleration': '(-0.01550293, -0.009033203, 1.044678)', 'Roll': '0.850202', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '0.8071266'}
2022-04-04 01:16:16: {'Acceleration': '(0.02905273, -0.04370117, 0.9239502)', 'Roll': '-1.801018', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.706633'}
2022-04-04 01:16:17: {'Acceleration': '(0.01757813, -0.01391602, 1.007813)', 'Roll': '-0.9992437', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.124121'}
2022-04-04 01:16:18: {'Acceleration': '(0.02172852, -0.02001953, 0.9996338)', 'Roll': '-1.245212', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '1.144099'}
2022-04-04 01:16:20: {'Acceleration': '(0.01867676, -0.00769043, 0.9997559)', 'Roll': '-1.070236', 'battery_voltage': 4.576308, 'battery_percentage': 90.96411, 'Pitch': '0.5504622'}
2022-04-04 01:16:21: {'Acceleration': '(0.01989746, -0.008056641, 1.003784)', 'Roll': '-1.333843', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '0.7890112'}
2022-04-04 01:16:22: {'Acceleration': '(0.01977539, -0.01171875, 1.009155)', 'Roll': '-1.122623', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '0.6708636'}
2022-04-04 01:16:23: {'Acceleration': '(0.02050781, -0.008911133, 1.006348)', 'Roll': '-1.188279', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '0.5072274'}
2022-04-04 01:16:24: {'Acceleration': '(0.01904297, -0.0123291, 0.9971924)', 'Roll': '-1.205975', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '0.8433624'}
2022-04-04 01:16:25: {'Acceleration': '(0.02099609, -0.01147461, 1.004761)', 'Roll': '-1.197113', 'battery_voltage': 4.576308, 'battery_percentage': 90.96411, 'Pitch': '0.4666397'}
2022-04-04 01:16:26: {'Acceleration': '(0.02355957, -0.008789063, 1.004761)', 'Roll': '-1.343222', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '0.5010396'}
2022-04-04 01:16:27: {'Acceleration': '(0.1618652, -0.4381104, 1.093506)', 'Roll': '-10.82573', 'battery_voltage': 4.576308, 'battery_percentage': 90.96411, 'Pitch': '23.54423'}
2022-04-04 01:16:28: {'Acceleration': '(0.5377197, -0.6625977, 0.5229492)', 'Roll': '-48.35407', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '39.56267'}
2022-04-04 01:16:29: {'Acceleration': '(0.5742188, -0.7431641, 0.3496094)', 'Roll': '-58.66512', 'battery_voltage': 4.576308, 'battery_percentage': 90.96411, 'Pitch': '48.6237'}
2022-04-04 01:16:31: {'Acceleration': '(0.565918, -0.6303711, 0.1179199)', 'Roll': '-78.22973', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '47.47806'}
2022-04-04 01:16:32: {'Acceleration': '(0.6026611, -0.8104248, 0.06164551)', 'Roll': '-84.18182', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '52.70689'}
2022-04-04 01:16:33: {'Acceleration': '(0.4484863, -0.8081055, 0.4112549)', 'Roll': '-47.47966', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '51.51973'}
2022-04-04 01:16:34: {'Acceleration': '(0.5499268, -0.7597656, 0.3724365)', 'Roll': '-55.43221', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '49.17402'}
