Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:17:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ed4da7a3dbc21dc3e56b6ced8116f6fdb3278b5db1a9a5f1f9ecbdfd10453e1d', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:17:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac10ac55bde19cf7790d035708f8edf4474dd9c3b757be870eb86763e63abbcc', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:17:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '62798f95472b30ca518573b54bc62528bd8d7968d79605e893e12313f2894916', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '184cd7b410a659a1930873751487acf84ede84825f011df9196f553ff093d421', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a76ce30ef3eef0f2a00ed10ff553a3d7d36713f96ceba5686653f8e85a6925af', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a76ce30ef3eef0f2a00ed10ff553a3d7d36713f96ceba5686653f8e85a6925af', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '33a9a7ba08c711d2b19fbd33f3b80e6694d686f00629751dccee17000fe0b158', 'rssi': -80, 'name': 'Tb30', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ccad233d90983be1f0912f08d43c792477c83a48ffd191efa5008d396c6eef8', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '83650a2c8c2a843cd0541df9f6a34b52552b7f306772be5158727ef75601d3d3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a4e90bccc896714497013be00bef7c653ad5893e0295cbb8c0958ec1bd98d2fd', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
