Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:47:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3e286f9ef4e60e0003835e89239589cc05b5b222f1fd22949d39d5d6e6f5fe45', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3b5fa012c12ce4620766758e305c07b3dccbdc8b1d4118570be5bf667076fa02', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fc03033875a09b8f780105390b72371cd3e08e8ddee37cb389049808c63e494', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 11:48:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ff61836bb57c2396798afe7803db3b45d068e8637fee15e82db9ce6c59af4747', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a0f90369d46fe18a46f733574acc25190b7bb773ca5c96c3bd953145c24f1325', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:48:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0893a6fe9bc03ff25d7ebf2a373d9b9e1ffc2b2fcdf26d9728c809057b5e116f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '43071892b387580482f08ad29e386261659f2095765449f488bf8a7066942f9e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'df1a317c8cf3998e90ab6f03346acc363d1e78081a2b513bbf357feee06ec814', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '12dea04e501e87728cf57c52a83d2d103d0e11aec2415749d2b7b5040a5bc2a6', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fc03033875a09b8f780105390b72371cd3e08e8ddee37cb389049808c63e494', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 11:48:13: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '09e73b0d26b99f0b0121b442823867c934c8583c66c816a059c79d34ede12bbb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fc03033875a09b8f780105390b72371cd3e08e8ddee37cb389049808c63e494', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 11:48:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5c0b8752bf264da2381d6bc6f28cc8cae83878fc9b7a13d76117e5492efedd29', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '03dc7e45c5f3f23b9f78bc58eabd1543417485be81d05a8ce28f77c5b9ec2537', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:17: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'fa90214fd85f84fce33965c8fefb127079d51c14e4a3513a395bcdd32ea8bad5', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -20, 'adv_tx_pwr': 3}
2022-07-06 11:48:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0893a6fe9bc03ff25d7ebf2a373d9b9e1ffc2b2fcdf26d9728c809057b5e116f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '03dc7e45c5f3f23b9f78bc58eabd1543417485be81d05a8ce28f77c5b9ec2537', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:19: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'cdb4c41d1b2111ecfb973e8173d609b9bfb90afe9550d50da7d08f2dd8a90e28', 'rssi': -77, 'name': 'Tb70\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -13, 'adv_tx_pwr': 3}
2022-07-06 11:48:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '468a802ed992a6aa3db57fb65e17d33592c86d488bfe8300667f8a81a7037840', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ff61836bb57c2396798afe7803db3b45d068e8637fee15e82db9ce6c59af4747', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '12dea04e501e87728cf57c52a83d2d103d0e11aec2415749d2b7b5040a5bc2a6', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:48:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9dd8b7976e9b074748201b63afca15ab5462733d8325f1ac7fe5457e3d7d5f18', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:48:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '03dc7e45c5f3f23b9f78bc58eabd1543417485be81d05a8ce28f77c5b9ec2537', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
