Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:49:14: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-06 11:49:16: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-06 11:49:16: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-89}
2022-07-06 11:49:18: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-06 11:49:18: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-06 11:49:20: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 11:49:20: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-88}
2022-07-06 11:49:22: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 11:49:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-87}
2022-07-06 11:49:23: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-06 11:49:25: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 11:49:27: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-06 11:49:27: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-06 11:49:29: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 11:49:29: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 11:49:31: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 11:49:31: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 11:49:33: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-06 11:49:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 11:49:35: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-06 11:49:36: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:49:36: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-06 11:49:36: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-06 11:49:38: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 11:49:38: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-77}
2022-07-06 11:49:40: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 11:49:40: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-79}
2022-07-06 11:49:40: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-84}
2022-07-06 11:49:42: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 11:49:44: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 11:49:44: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 11:49:44: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-90}
2022-07-06 11:49:46: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-06 11:49:46: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-06 11:49:46: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-06 11:49:48: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-06 11:49:50: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-06 11:49:50: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 11:49:50: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-06 11:49:52: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-06 11:49:52: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-06 11:49:53: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-75}
