Testing SD card write operations: 2023-01-27 10:44:18
2023-01-27 10:48:39: {'Acceleration': '(-0.03088379, 0.04846191, 1.014771)', 'Roll': '1.743217', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.692372'}
2023-01-27 10:48:39: {'Acceleration': '(-0.03173828, 0.04907227, 1.017456)', 'Roll': '1.786691', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.759916'}
2023-01-27 10:48:40: {'Acceleration': '(-0.03283691, 0.04956055, 1.014526)', 'Roll': '1.684278', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.737923'}
2023-01-27 10:48:41: {'Acceleration': '(-0.03381348, 0.04882813, 1.015137)', 'Roll': '1.907776', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.701113'}
2023-01-27 10:48:42: {'Acceleration': '(-0.03051758, 0.04919434, 1.012207)', 'Roll': '1.726918', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.781184'}
2023-01-27 10:48:43: {'Acceleration': '(-0.03112793, 0.04663086, 1.018188)', 'Roll': '1.866859', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.742798'}
2023-01-27 10:48:44: {'Acceleration': '(-0.03466797, 0.04589844, 1.014893)', 'Roll': '1.95642', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.616655'}
2023-01-27 10:48:45: {'Acceleration': '(-0.03198242, 0.0489502, 1.016235)', 'Roll': '1.802588', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.756339'}
2023-01-27 10:48:45: {'Acceleration': '(-0.0324707, 0.0480957, 1.018433)', 'Roll': '1.757535', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.702527'}
2023-01-27 10:48:46: {'Acceleration': '(-0.03320313, 0.04663086, 1.019409)', 'Roll': '1.865518', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.732757'}
2023-01-27 10:48:47: {'Acceleration': '(-0.03308105, 0.04650879, 1.014771)', 'Roll': '1.867155', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.57539'}
2023-01-27 10:48:48: {'Acceleration': '(-0.03027344, 0.04638672, 1.016357)', 'Roll': '1.70612', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.612018'}
2023-01-27 10:48:49: {'Acceleration': '(-0.02722168, 0.04516602, 1.014648)', 'Roll': '1.673148', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.607388'}
2023-01-27 10:48:50: {'Acceleration': '(-0.03356934, 0.04772949, 1.01416)', 'Roll': '1.895834', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.591808'}
2023-01-27 10:48:51: {'Acceleration': '(-0.03491211, 0.04394531, 1.010986)', 'Roll': '1.977793', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.487472'}
2023-01-27 10:48:51: {'Acceleration': '(-0.03198242, 0.04406738, 1.015015)', 'Roll': '2.038996', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.589632'}
2023-01-27 10:48:52: {'Acceleration': '(-0.03295898, 0.04492188, 1.013794)', 'Roll': '1.859152', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.538549'}
2023-01-27 10:48:53: {'Acceleration': '(-0.03540039, 0.04711914, 1.014404)', 'Roll': '1.998681', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.657865'}
2023-01-27 10:48:54: {'Acceleration': '(-0.0300293, 0.04736328, 1.020874)', 'Roll': '1.684886', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.655176'}
2023-01-27 10:48:55: {'Acceleration': '(-0.02685547, 0.04833984, 1.014648)', 'Roll': '1.779101', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.635216'}
2023-01-27 10:48:56: {'Acceleration': '(-0.03125, 0.04602051, 1.014282)', 'Roll': '1.764723', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.546198'}
2023-01-27 10:48:57: {'Acceleration': '(-0.0300293, 0.04614258, 1.013916)', 'Roll': '1.696441', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.604551'}
2023-01-27 10:48:57: {'Acceleration': '(-0.03198242, 0.04833984, 1.017822)', 'Roll': '1.799779', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.717789'}
2023-01-27 10:48:58: {'Acceleration': '(-0.03173828, 0.04638672, 1.015015)', 'Roll': '1.786263', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-2.683614'}
2023-01-27 10:48:59: {'Acceleration': '(-0.03161621, 0.04614258, 1.013672)', 'Roll': '1.786464', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.646625'}
2023-01-27 10:49:00: {'Acceleration': '(-0.03405762, 0.0456543, 1.01355)', 'Roll': '1.924546', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.577632'}
2023-01-27 10:49:01: {'Acceleration': '(-0.03417969, 0.04748535, 1.012817)', 'Roll': '1.683674', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.465221'}
2023-01-27 10:49:02: {'Acceleration': '(-0.03100586, 0.04821777, 1.014648)', 'Roll': '1.75432', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.69124'}
2023-01-27 10:49:03: {'Acceleration': '(-0.03271484, 0.046875, 1.012817)', 'Roll': '1.850058', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.632655'}
2023-01-27 10:49:03: {'Acceleration': '(-0.03381348, 0.04882813, 1.017822)', 'Roll': '1.902746', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.74504'}
2023-01-27 10:49:04: {'Acceleration': '(-0.03295898, 0.04345703, 1.013184)', 'Roll': '2.074178', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.629922'}
2023-01-27 10:49:05: {'Acceleration': '(-0.03149414, 0.04504395, 1.013794)', 'Roll': '1.779357', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.491208'}
2023-01-27 10:49:06: {'Acceleration': '(-0.02844238, 0.04443359, 1.015625)', 'Roll': '1.604138', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.504112'}
2023-01-27 10:49:07: {'Acceleration': '(-0.03149414, 0.04443359, 1.011963)', 'Roll': '1.782574', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.512932'}
2023-01-27 10:49:08: {'Acceleration': '(-0.03369141, 0.04614258, 1.014404)', 'Roll': '1.821367', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.495481'}
2023-01-27 10:49:08: {'Acceleration': '(-0.03173828, 0.04516602, 1.014404)', 'Roll': '1.792063', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.562926'}
2023-01-27 10:49:09: {'Acceleration': '(-0.03479004, 0.04626465, 1.014526)', 'Roll': '1.964011', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.609474'}
2023-01-27 10:49:10: {'Acceleration': '(-0.03540039, 0.0447998, 1.01001)', 'Roll': '1.952037', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-2.538264'}
2023-01-27 10:49:11: {'Acceleration': '(-0.03283691, 0.04553223, 1.013428)', 'Roll': '1.855839', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.43985'}
2023-01-27 10:49:12: {'Acceleration': '(-0.03112793, 0.04541016, 1.015015)', 'Roll': '1.756566', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.468024'}
2023-01-27 10:49:13: {'Acceleration': '(-0.03271484, 0.04443359, 1.014282)', 'Roll': '1.847388', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.507103'}
2023-01-27 10:49:14: {'Acceleration': '(-0.03259277, 0.04333496, 1.020142)', 'Roll': '1.94663', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.600123'}
2023-01-27 10:49:14: {'Acceleration': '(-0.0324707, 0.04504395, 1.011475)', 'Roll': '1.838697', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.610391'}
2023-01-27 10:49:15: {'Acceleration': '(-0.03222656, 0.04638672, 1.01355)', 'Roll': '1.821148', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.619082'}
2023-01-27 10:49:16: {'Acceleration': '(-0.03491211, 0.04626465, 1.014771)', 'Roll': '1.970424', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.608837'}
2023-01-27 10:49:17: {'Acceleration': '(-0.0333252, 0.04418945, 1.013794)', 'Roll': '1.68286', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.419048'}
2023-01-27 10:49:18: {'Acceleration': '(-0.03259277, 0.04443359, 1.018921)', 'Roll': '1.832126', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.485971'}
2023-01-27 10:49:19: {'Acceleration': '(-0.03051758, 0.04504395, 1.013306)', 'Roll': '1.725047', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.544723'}
2023-01-27 10:49:20: {'Acceleration': '(-0.03295898, 0.04455566, 1.014282)', 'Roll': '1.861165', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.513962'}
2023-01-27 10:49:20: {'Acceleration': '(-0.02893066, 0.04699707, 1.018433)', 'Roll': '1.753898', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.545911'}
2023-01-27 10:49:21: {'Acceleration': '(-0.02990723, 0.04516602, 1.015991)', 'Roll': '1.691381', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.531621'}
2023-01-27 10:49:22: {'Acceleration': '(-0.03369141, 0.04589844, 1.012695)', 'Roll': '1.905473', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-2.588941'}
