Testing SD card write operations: 2022-09-18 10:38:30
2022-09-18 10:39:27: {'Acceleration': '(-0.2313232, -0.2192383, 0.9678955)', 'Roll': '13.44133', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.41583'}
2022-09-18 10:39:28: {'Acceleration': '(-0.2301025, -0.2194824, 0.9697266)', 'Roll': '13.34861', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '12.50366'}
2022-09-18 10:39:29: {'Acceleration': '(-0.2318115, -0.2199707, 0.9703369)', 'Roll': '13.43602', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.41514'}
2022-09-18 10:39:30: {'Acceleration': '(-0.2304688, -0.2207031, 0.96875)', 'Roll': '13.38209', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.45798'}
2022-09-18 10:39:31: {'Acceleration': '(-0.2320557, -0.2194824, 0.9686279)', 'Roll': '13.47252', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.48886'}
2022-09-18 10:39:32: {'Acceleration': '(-0.2312012, -0.2199707, 0.9677734)', 'Roll': '13.43613', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.47622'}
2022-09-18 10:39:32: {'Acceleration': '(-0.230957, -0.2194824, 0.9703369)', 'Roll': '13.38827', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.5103'}
2022-09-18 10:39:33: {'Acceleration': '(-0.232666, -0.2183838, 0.9645996)', 'Roll': '13.56098', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.50033'}
2022-09-18 10:39:34: {'Acceleration': '(-0.2313232, -0.220459, 0.9707031)', 'Roll': '13.40386', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '12.47994'}
2022-09-18 10:39:35: {'Acceleration': '(-0.2318115, -0.2205811, 0.9672852)', 'Roll': '13.47686', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.55468'}
2022-09-18 10:39:36: {'Acceleration': '(-0.2315674, -0.2210693, 0.9667969)', 'Roll': '13.46974', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.40075'}
2022-09-18 10:39:37: {'Acceleration': '(-0.2302246, -0.2203369, 0.9677734)', 'Roll': '13.38142', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.37806'}
2022-09-18 10:39:38: {'Acceleration': '(-0.232666, -0.2188721, 0.9661865)', 'Roll': '13.45927', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '12.32855'}
2022-09-18 10:39:38: {'Acceleration': '(-0.229248, -0.2199707, 0.9710693)', 'Roll': '13.31697', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.4432'}
2022-09-18 10:39:39: {'Acceleration': '(-0.2333984, -0.2191162, 0.9707031)', 'Roll': '13.56572', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '12.56145'}
