Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:58:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42cb3881db589fc5096442f8340611260c8628fc23ee0a979872dacbb106d723', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f5acea529e0136177e21278af91a8a36d2ceb72a46c28eff39c6314d8bae0ef', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f5acea529e0136177e21278af91a8a36d2ceb72a46c28eff39c6314d8bae0ef', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '394a05e6dbc9eb58f2b067228aa2f19ee43f13adfc4e310c1c49e02fa95f082f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874dd9195fa4f4c49e3129b5eccff95b3b8ca1012ffe4b12bf721ab37a5bd1a1', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b7fbd5bc33156b1e5f3a427ad02c4c40200ca623c45ace85b9caf90ccb5ce565', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42cb3881db589fc5096442f8340611260c8628fc23ee0a979872dacbb106d723', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:10: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9534f537585d714830ff9bf883cafe935f9c9344e842b722bb1a6d2a06dbb3df', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e13753e605ba4963b63e3a022893a07a227a7e736dacce6aaf005b93b6437c3a', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:59:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874dd9195fa4f4c49e3129b5eccff95b3b8ca1012ffe4b12bf721ab37a5bd1a1', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:15: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9534f537585d714830ff9bf883cafe935f9c9344e842b722bb1a6d2a06dbb3df', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd86de1b4e123d6bde9ca65cc35682b3ac274e408c631e3352c27fbe6bef2a4c5', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:59:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '251c3da3d6cb0857b2dc9fdd4be1491beb20cf4a1b4de488678f7149a84a4798', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874dd9195fa4f4c49e3129b5eccff95b3b8ca1012ffe4b12bf721ab37a5bd1a1', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0ccffdb51c2e9fdbc6c361e1fae4d5938d8f082e63120c79ccc8c48d35052230', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '91ea44d0e98ac5747db61877a0687d2ffb99331f38ff6ecdef3324acddc286a9', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f486044fc60eb000d75e71c0fad0793de3f755185a94c276097d62d0242ef3ab', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd86de1b4e123d6bde9ca65cc35682b3ac274e408c631e3352c27fbe6bef2a4c5', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
