Testing SD card write operations: 2022-07-01 13:12:00
2022-07-01 13:15:10: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:15:12: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:15:13: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:15:15: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-01 13:15:17: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-01 13:15:17: {'ssid':'BS12', 'bssid':'886636770177d1f8a7bac94158d221d013b48d2b29f4b42fec60c397', 'sec':4, 'channel':3, 'rssi':-91}
2022-07-01 13:15:19: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:15:21: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-01 13:15:23: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-01 13:15:24: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-01 13:15:26: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:15:28: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:15:28: {'ssid':'BS11', 'bssid':'550b5b9999a6d26f66d75d3ac7f7284eb8f0c4a84d892e41f524e549', 'sec':5, 'channel':3, 'rssi':-95}
2022-07-01 13:15:30: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:15:32: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:15:34: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:15:36: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:15:37: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-01 13:15:39: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:15:39: {'ssid':'BS12', 'bssid':'886636770177d1f8a7bac94158d221d013b48d2b29f4b42fec60c397', 'sec':4, 'channel':3, 'rssi':-89}
2022-07-01 13:15:41: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:15:43: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-01 13:15:45: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-01 13:15:47: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:15:49: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:15:50: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:15:52: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:15:52: {'ssid':'BS11', 'bssid':'550b5b9999a6d26f66d75d3ac7f7284eb8f0c4a84d892e41f524e549', 'sec':5, 'channel':3, 'rssi':-94}
2022-07-01 13:15:54: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-01 13:15:56: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:15:58: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:16:00: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:16:02: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:16:03: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-01 13:16:05: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-01 13:16:07: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-01 13:16:09: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:16:11: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:16:13: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:16:15: {'ssid':'BS11', 'bssid':'550b5b9999a6d26f66d75d3ac7f7284eb8f0c4a84d892e41f524e549', 'sec':5, 'channel':3, 'rssi':-91}
2022-07-01 13:16:16: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:16:18: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:16:18: {'ssid':'BS11', 'bssid':'550b5b9999a6d26f66d75d3ac7f7284eb8f0c4a84d892e41f524e549', 'sec':5, 'channel':3, 'rssi':-90}
2022-07-01 13:16:20: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:16:20: {'ssid':'BS14', 'bssid':'4620b406e5d7dc5be2b0a4c186ff4c369f4e438b46fd168512c5d27d', 'sec':2, 'channel':6, 'rssi':-93}
2022-07-01 13:16:22: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-59}
2022-07-01 13:16:24: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-01 13:16:26: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:16:28: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-01 13:16:29: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:16:31: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:16:33: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-01 13:16:35: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-01 13:16:37: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-01 13:16:39: {'ssid':'BS10', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
