Testing SD card write operations: 2022-07-01 13:12:00
2022-07-01 13:13:41: {'Acceleration': '(-0.6123047, -0.2979736, 0.7774658)', 'Roll': '37.89366', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '17.04896'}
2022-07-01 13:13:42: {'Acceleration': '(-0.9035645, -0.2242432, 0.6508789)', 'Roll': '54.23306', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.38541'}
2022-07-01 13:13:43: {'Acceleration': '(-0.7226563, -0.1629639, 0.71521)', 'Roll': '45.29672', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.38638'}
2022-07-01 13:13:44: {'Acceleration': '(-0.6899414, -0.2067871, 0.7830811)', 'Roll': '41.38198', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.20719'}
2022-07-01 13:13:45: {'Acceleration': '(-0.6417236, -0.1853027, 0.7751465)', 'Roll': '39.62047', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.383'}
2022-07-01 13:13:46: {'Acceleration': '(-0.5360107, -0.1983643, 0.7919922)', 'Roll': '34.19242', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.41314'}
2022-07-01 13:13:47: {'Acceleration': '(-0.5665283, -0.1933594, 0.7989502)', 'Roll': '35.3401', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.88963'}
2022-07-01 13:13:47: {'Acceleration': '(-0.600708, -0.2092285, 0.7896729)', 'Roll': '37.12428', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.32452'}
2022-07-01 13:13:48: {'Acceleration': '(-0.6069336, -0.2340088, 0.7781982)', 'Roll': '37.95144', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.33941'}
2022-07-01 13:13:49: {'Acceleration': '(-0.5975342, -0.1329346, 0.7819824)', 'Roll': '36.12326', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.714442'}
2022-07-01 13:13:50: {'Acceleration': '(-0.6306152, -0.223999, 0.7700195)', 'Roll': '38.59107', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.80973'}
2022-07-01 13:13:51: {'Acceleration': '(-0.5305176, -0.0703125, 0.8850098)', 'Roll': '30.94051', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.433661'}
2022-07-01 13:13:52: {'Acceleration': '(-0.699585, 0.006591797, 0.7537842)', 'Roll': '43.47628', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.3635853'}
