Testing SD card write operations: 2022-06-30 10:50:05
2022-06-30 10:50:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36814265be131e73d58608541505dc5d7dcf748d369f562bcc6c76d0009dc4f5', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36814265be131e73d58608541505dc5d7dcf748d369f562bcc6c76d0009dc4f5', 'rssi': -100, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:51:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:51:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e61375c7a5f35e0960cd94a3010817b8614c29a3c1e58f1986d4a08d345f3eb3', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36814265be131e73d58608541505dc5d7dcf748d369f562bcc6c76d0009dc4f5', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:51:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:51:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
