Testing SD card write operations: 2022-07-01 13:42:00
2022-07-01 13:43:43: {'Acceleration': '(-0.3560791, -0.08850098, 0.9676514)', 'Roll': '20.56008', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.614402'}
2022-07-01 13:43:44: {'Acceleration': '(-0.3359375, -0.04284668, 0.8354492)', 'Roll': '21.90526', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.417448'}
2022-07-01 13:43:45: {'Acceleration': '(-0.2945557, -0.03039551, 0.9611816)', 'Roll': '17.03777', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.731821'}
2022-07-01 13:43:46: {'Acceleration': '(-0.3305664, -0.05114746, 0.8286133)', 'Roll': '21.749', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.747687'}
2022-07-01 13:43:47: {'Acceleration': '(-0.314209, -0.07751465, 0.8725586)', 'Roll': '19.80398', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.517097'}
2022-07-01 13:43:48: {'Acceleration': '(-0.3334961, -0.006835938, 0.8845215)', 'Roll': '20.33215', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.927059'}
2022-07-01 13:43:48: {'Acceleration': '(-0.3078613, 0.04516602, 0.9210205)', 'Roll': '18.48278', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.711478'}
2022-07-01 13:43:49: {'Acceleration': '(-0.27771, -0.03442383, 0.9432373)', 'Roll': '16.4056', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.00508'}
2022-07-01 13:43:50: {'Acceleration': '(-0.1279297, -0.3720703, 0.4934082)', 'Roll': '13.30402', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '29.70751'}
2022-07-01 13:43:51: {'Acceleration': '(-0.1367188, 0.01330566, 1.037842)', 'Roll': '11.1022', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.039364'}
2022-07-01 13:43:52: {'Acceleration': '(-0.135376, -0.006103516, 1.051514)', 'Roll': '7.336127', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.3298476'}
2022-07-01 13:43:53: {'Acceleration': '(-0.09191895, 0.0456543, 1.081543)', 'Roll': '5.715117', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.313208'}
2022-07-01 13:43:54: {'Acceleration': '(-0.1341553, 0.01599121, 1.027222)', 'Roll': '7.440722', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.3075234'}
2022-07-01 13:43:54: {'Acceleration': '(-0.09790039, 0.01000977, 0.9770508)', 'Roll': '5.721932', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.5840433'}
2022-07-01 13:43:55: {'Acceleration': '(-0.1385498, -0.005859375, 0.947998)', 'Roll': '8.314903', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.504007'}
