Testing SD card write operations: 2022-07-01 13:42:00
2022-07-01 13:42:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a001bfd7335d8ac2bba704cd563845f8b82628144f910904147536456c68e05', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:42:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f2d2bfe9666aaed7678f208c23ef0ebfd9957bec84cf0e4f6df32a0b338c28e0', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-01 13:42:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4368dc13bb23963c7317ec22007423fd5a2a2c1b706f403bcbde0ad71806db8e', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:42:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e86f1047d07fff5e28a2f8f0f2af3e582285a044850615e4a49370e6ef8b5869', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-01 13:42:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c394e21992a945554c8b4c9b0eb4f71b9c86bdde6ec1c0d29d085f5ba5f00c7', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4afa68a954adc1d8b4cea6886633bd9cb36aef9000a897974cbda68cf1184754', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c394e21992a945554c8b4c9b0eb4f71b9c86bdde6ec1c0d29d085f5ba5f00c7', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e86f1047d07fff5e28a2f8f0f2af3e582285a044850615e4a49370e6ef8b5869', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-01 13:42:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f286cab7b47bc8c5189c583f39a703b45c10e798beb56f4735b6a1a886dd0c13', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e67599421894c992e8e168a1e54ccce2d6aa35f40182be6966fab5b6f96ceb0f', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:42:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e86f1047d07fff5e28a2f8f0f2af3e582285a044850615e4a49370e6ef8b5869', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-01 13:42:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e86f1047d07fff5e28a2f8f0f2af3e582285a044850615e4a49370e6ef8b5869', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-01 13:42:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e86f1047d07fff5e28a2f8f0f2af3e582285a044850615e4a49370e6ef8b5869', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
