Testing SD card write operations: 2022-06-04 21:40:46
2022-06-04 21:41:48: {'Acceleration': '(0.001220703, -0.1362305, 0.9260254)', 'Roll': '-0.07552826', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.368923'}
2022-06-04 21:41:49: {'Acceleration': '(-0.1341553, -0.175293, 1.193115)', 'Roll': '7.176718', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.369822'}
2022-06-04 21:41:50: {'Acceleration': '(0.003662109, -0.08129883, 0.5178223)', 'Roll': '-0.4051968', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.922461'}
2022-06-04 21:41:51: {'Acceleration': '(-1.378296, 0.2554932, 1.249146)', 'Roll': '48.31915', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-7.745352'}
2022-06-04 21:41:52: {'Acceleration': '(0.1875, -0.003662109, 0.6264648)', 'Roll': '-16.66236', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.8053485'}
2022-06-04 21:41:53: {'Acceleration': '(-0.9559326, 0.2340088, 1.321411)', 'Roll': '32.38961', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-8.504948'}
2022-06-04 21:41:54: {'Acceleration': '(0.2374268, -0.09008789, 0.9366455)', 'Roll': '-13.39676', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.527339'}
2022-06-04 21:41:55: {'Acceleration': '(-0.1555176, 0.1191406, 1.044556)', 'Roll': '8.468218', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-6.436617'}
2022-06-04 21:41:56: {'Acceleration': '(-0.08886719, -0.2456055, 1.296753)', 'Roll': '3.920381', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.70029'}
2022-06-04 21:41:57: {'Acceleration': '(-0.4976807, -0.2935791, 1.182495)', 'Roll': '22.82493', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '22.16372'}
2022-06-04 21:41:58: {'Acceleration': '(-0.1832275, -0.03955078, 1.114014)', 'Roll': '9.340106', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.006381'}
2022-06-04 21:41:59: {'Acceleration': '(0.02368164, -0.1480713, 0.7733154)', 'Roll': '-1.75405', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.8346'}
2022-06-04 21:42:00: {'Acceleration': '(-0.2524414, -0.3050537, 1.451782)', 'Roll': '9.86418', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.4828'}
2022-06-04 21:42:01: {'Acceleration': '(0.01599121, -0.1043701, 0.6409912)', 'Roll': '-1.429097', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.245263'}
2022-06-04 21:42:02: {'Acceleration': '(-0.5306396, 0.2098389, 0.9771729)', 'Roll': '35.63303', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-9.900326'}
2022-06-04 21:42:03: {'Acceleration': '(0.07873535, -0.09729004, 0.7811279)', 'Roll': '-5.755802', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.457788'}
2022-06-04 21:42:04: {'Acceleration': '(-0.4221191, 0.3863525, 0.7508545)', 'Roll': '29.34404', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-24.15766'}
2022-06-04 21:42:05: {'Acceleration': '(-0.08630371, -0.5095215, 1.612061)', 'Roll': '3.670849', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.04327'}
2022-06-04 21:42:06: {'Acceleration': '(-0.5251465, -0.3980713, 1.163696)', 'Roll': '24.28844', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '21.54032'}
2022-06-04 21:42:07: {'Acceleration': '(-0.1088867, -0.4277344, 1.332031)', 'Roll': '12.4693', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.82528'}
2022-06-04 21:42:08: {'Acceleration': '(-0.01477051, -0.002929688, 0.6730957)', 'Roll': '0.4709968', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '1.86811'}
2022-06-04 21:42:09: {'Acceleration': '(-0.2650146, -0.08618164, 1.261963)', 'Roll': '11.85988', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.823616'}
2022-06-04 21:42:10: {'Acceleration': '(-0.09924316, -0.173584, 0.7832031)', 'Roll': '-2.951026', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '12.3933'}
2022-06-04 21:42:11: {'Acceleration': '(-0.1439209, -0.1177979, 1.087158)', 'Roll': '9.133848', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.582858'}
2022-06-04 21:42:12: {'Acceleration': '(0.07824707, -0.06030273, 0.8210449)', 'Roll': '-5.44395', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.181743'}
2022-06-04 21:42:13: {'Acceleration': '(-0.9073486, -0.04296875, 1.034424)', 'Roll': '48.32182', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '1.680946'}
2022-06-04 21:42:14: {'Acceleration': '(0.1092529, -0.1015625, 0.980835)', 'Roll': '-8.041448', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '4.473041'}
2022-06-04 21:42:15: {'Acceleration': '(-0.05639648, 0.01464844, 0.7208252)', 'Roll': '4.473639', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.160645'}
2022-06-04 21:42:16: {'Acceleration': '(0.05334473, -0.09716797, 1.092041)', 'Roll': '-7.405745', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.545402'}
2022-06-04 21:42:17: {'Acceleration': '(-0.3552246, 0.2219238, 0.9371338)', 'Roll': '20.75943', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-10.96845'}
2022-06-04 21:42:18: {'Acceleration': '(-0.04589844, -0.4504395, 1.882446)', 'Roll': '1.396728', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.45309'}
