Testing SD card write operations: 2022-06-04 21:40:45
2022-06-04 21:42:57: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:42:58: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:43:00: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:43:02: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-75}
2022-06-04 21:43:04: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-68}
2022-06-04 21:43:06: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-80}
2022-06-04 21:43:08: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-72}
2022-06-04 21:43:09: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:43:13: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-72}
2022-06-04 21:43:15: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:43:17: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-61}
2022-06-04 21:43:19: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-72}
2022-06-04 21:43:21: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-74}
2022-06-04 21:43:24: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-65}
2022-06-04 21:43:26: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-55}
2022-06-04 21:43:28: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-62}
