Testing SD card write operations: 2022-07-01 09:08:58
2022-07-01 09:09:50: {'Acceleration': '(-0.1402588, -0.1185303, 0.9974365)', 'Roll': '7.925892', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.558722'}
2022-07-01 09:09:51: {'Acceleration': '(-0.1373291, -0.1192627, 0.9968262)', 'Roll': '7.844053', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.799268'}
2022-07-01 09:09:52: {'Acceleration': '(-0.1395264, -0.1182861, 0.9993896)', 'Roll': '7.947781', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.685784'}
2022-07-01 09:09:52: {'Acceleration': '(-0.1396484, -0.1201172, 0.9981689)', 'Roll': '7.96425', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.660648'}
2022-07-01 09:09:54: {'Acceleration': '(-0.1376953, -0.1185303, 0.9958496)', 'Roll': '7.864978', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.653353'}
2022-07-01 09:09:54: {'Acceleration': '(-0.1386719, -0.1179199, 0.9998779)', 'Roll': '7.895915', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.636093'}
2022-07-01 09:09:55: {'Acceleration': '(-0.1409912, -0.1199951, 0.9975586)', 'Roll': '8.044687', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.792219'}
2022-07-01 09:09:56: {'Acceleration': '(-0.1391602, -0.1192627, 1.004517)', 'Roll': '7.887238', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.707365'}
2022-07-01 09:09:57: {'Acceleration': '(-0.1405029, -0.1181641, 0.9979248)', 'Roll': '8.014286', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.687584'}
2022-07-01 09:09:58: {'Acceleration': '(-0.1386719, -0.1207275, 1.005127)', 'Roll': '7.855196', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.785419'}
2022-07-01 09:09:59: {'Acceleration': '(-0.137207, -0.1190186, 0.9897461)', 'Roll': '6.986601', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '7.128801'}
2022-07-01 09:10:00: {'Acceleration': '(-0.1380615, -0.1185303, 1.002563)', 'Roll': '7.840801', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.680155'}
2022-07-01 09:10:00: {'Acceleration': '(-0.1413574, -0.1188965, 1.002686)', 'Roll': '8.277507', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.692638'}
2022-07-01 09:10:01: {'Acceleration': '(-0.1378174, -0.1253662, 1.001953)', 'Roll': '8.095494', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.729987'}
2022-07-01 09:10:02: {'Acceleration': '(-0.1374512, -0.1201172, 0.9990234)', 'Roll': '7.833886', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.792639'}
2022-07-01 09:10:03: {'Acceleration': '(-0.1411133, -0.118042, 0.9992676)', 'Roll': '7.938838', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.669452'}
2022-07-01 09:10:04: {'Acceleration': '(-0.1397705, -0.1182861, 0.9975586)', 'Roll': '7.926148', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.659996'}
2022-07-01 09:10:05: {'Acceleration': '(-0.1402588, -0.1188965, 0.994873)', 'Roll': '7.893751', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.751072'}
2022-07-01 09:10:06: {'Acceleration': '(-0.1391602, -0.1187744, 0.9932861)', 'Roll': '7.869411', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.718794'}
2022-07-01 09:10:06: {'Acceleration': '(-0.1379395, -0.1188965, 0.9985352)', 'Roll': '7.865164', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.764369'}
2022-07-01 09:10:07: {'Acceleration': '(-0.1378174, -0.1195068, 0.9981689)', 'Roll': '8.065529', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.611938'}
2022-07-01 09:10:08: {'Acceleration': '(-0.1369629, -0.1202393, 0.9984131)', 'Roll': '7.811113', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.729195'}
2022-07-01 09:10:09: {'Acceleration': '(-0.1373291, -0.1203613, 0.9975586)', 'Roll': '7.838366', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.816144'}
2022-07-01 09:10:10: {'Acceleration': '(-0.1398926, -0.119873, 0.9995117)', 'Roll': '7.967413', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.734062'}
2022-07-01 09:10:11: {'Acceleration': '(-0.1375732, -0.1201172, 1.000854)', 'Roll': '7.826591', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.780446'}
2022-07-01 09:10:12: {'Acceleration': '(-0.1387939, -0.1187744, 0.9978027)', 'Roll': '7.919005', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.724177'}
2022-07-01 09:10:13: {'Acceleration': '(-0.1361084, -0.1208496, 0.9981689)', 'Roll': '7.764853', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.840581'}
2022-07-01 09:10:13: {'Acceleration': '(-0.133667, -0.1218262, 0.9987793)', 'Roll': '7.856394', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.739195'}
2022-07-01 09:10:14: {'Acceleration': '(-0.1391602, -0.1195068, 0.9963379)', 'Roll': '7.951158', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.774587'}
2022-07-01 09:10:15: {'Acceleration': '(-0.1416016, -0.1179199, 0.9937744)', 'Roll': '7.909272', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.778837'}
2022-07-01 09:10:16: {'Acceleration': '(-0.1387939, -0.119873, 0.9940186)', 'Roll': '7.732664', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '6.857479'}
2022-07-01 09:10:17: {'Acceleration': '(-0.1419678, -0.1188965, 1.002197)', 'Roll': '8.062675', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.699441'}
2022-07-01 09:10:18: {'Acceleration': '(-0.1405029, -0.1181641, 1.008667)', 'Roll': '8.052425', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.474075'}
2022-07-01 09:10:19: {'Acceleration': '(-0.1387939, -0.1203613, 0.9986572)', 'Roll': '7.912315', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.765928'}
2022-07-01 09:10:19: {'Acceleration': '(-0.1369629, -0.1221924, 0.9954834)', 'Roll': '7.972219', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.633902'}
2022-07-01 09:10:20: {'Acceleration': '(-0.1375732, -0.1237793, 0.9986572)', 'Roll': '7.776369', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '6.828667'}
2022-07-01 09:10:21: {'Acceleration': '(-0.1363525, -0.1201172, 0.9975586)', 'Roll': '7.766415', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.84078'}
