Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:13:30: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-88}
2022-09-11 17:13:30: {'ssid':'P930', 'bssid':'c37ddffc9d8be55c3120351b55cbd58852b24d55d2a324e40de958c89d884444', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-11 17:13:32: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-88}
2022-09-11 17:13:32: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-92}
2022-09-11 17:13:32: {'ssid':'P93', 'bssid':'eccf89cb3fca6aafac5a35bc6395087cfc6d7427f5a202fc45eab37173550a8b', 'sec':4, 'channel':6, 'rssi':-93}
2022-09-11 17:13:34: {'ssid':'P929', 'bssid':'4337b8b40c3e3ccd41cf0ef1d4356be6b4a9a1b6f865061510c69d01a03d74ec', 'sec':4, 'channel':1, 'rssi':-90}
2022-09-11 17:13:34: {'ssid':'P95', 'bssid':'254f314e254759a0597e60ec994212765fbb6ddff6208700e21093c941600c63', 'sec':5, 'channel':6, 'rssi':-91}
2022-09-11 17:13:36: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-86}
2022-09-11 17:13:36: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-11 17:13:36: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-88}
2022-09-11 17:13:36: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-91}
2022-09-11 17:13:38: {'ssid':'P931', 'bssid':'79d38f99578c2d8bbcbb68f0be20a13b3c60a4fa601c4337cd9b004fd88e1f88', 'sec':4, 'channel':1, 'rssi':-89}
2022-09-11 17:13:38: {'ssid':'P918', 'bssid':'a6b18823cf6b775225b43080ab46203463e83d1ba8d9cd0aebb7813c7d38e555', 'sec':3, 'channel':6, 'rssi':-93}
