Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:13:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45091ffb7db686b1585f35cdc7e85c4315bef6cad8546acb41ee2c7c101bc6b7', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
