Testing SD card write operations: 2023-01-22 19:26:16
2023-01-22 19:27:10: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:10: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69eb50614e4a7e43c7bde7bfa076c5097103154a02b4328157f4dff3c7c65de5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:11: {'name': 'Rb31', 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '327479ed97f871d8069b247c8832a5e94dc3905c2c0011f49897f26d6364915f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:12: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '5068cdedcc8ee04d70a36546081bb7d61537aac825a2f6e8634b2e74c20d8271', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:13: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:13: {'name': None, 'adv_flag': None, 'rssi': -94, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '20a129d881b7802adc981479da0e580d944becb2a92b4e9b0ddc1d01881d997b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:14: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': 24, 'def_tx_pwr': 0, 'mac': '2e20e47b9b3718e17d771f2f0d6dc0778bb5080ba5b10df4ed58a15b8606806b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:15: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 24, 'def_tx_pwr': 0, 'mac': '2e20e47b9b3718e17d771f2f0d6dc0778bb5080ba5b10df4ed58a15b8606806b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:16: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '5068cdedcc8ee04d70a36546081bb7d61537aac825a2f6e8634b2e74c20d8271', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:17: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'bc9d2cba18a85300ab277bea2e766a56b81da9ad9d1d286ceed2382ed9095f31', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
