Testing SD card write operations 120: 2023-01-22 19:26:16
2023-01-22 19:26:38: {'ssid':'R317', 'bssid':'f76ce25579470ff9de3969b8d5ebde57a6201fed01e02eb390b245afa6daa12b', 'sec':3, 'channel':6, 'rssi':-94}
2023-01-22 19:26:38: {'ssid':'R316', 'bssid':'4d2f799f402395c99b3dcf6e553200c7ee799efe8a940ffa95a27a6661a692b7', 'sec':3, 'channel':1, 'rssi':-95}
2023-01-22 19:26:38: {'ssid':'R313', 'bssid':'a705d5d6b1ea838ba11ed4dbf0c7d4b97eded391aefd040b6e62796851cf3e31', 'sec':4, 'channel':11, 'rssi':-95}
2023-01-22 19:26:42: {'ssid':'R30', 'bssid':'382bc6b27ba507f8d4f82615bb0da03d3e5bad337d62edd89c5a3fb7e8173135', 'sec':3, 'channel':6, 'rssi':-45}
2023-01-22 19:26:42: {'ssid':'R34', 'bssid':'810fd50374f420418c72154e9c856f6c125b2e09090913e9552bb8997796b43f', 'sec':4, 'channel':4, 'rssi':-67}
2023-01-22 19:26:42: {'ssid':'R32', 'bssid':'c8f77106ddb9c9ebab715f96f9e81b2e7ffd06eb1f416b7a8b47259e0db4ed7a', 'sec':3, 'channel':6, 'rssi':-67}
2023-01-22 19:26:42: {'ssid':'R31', 'bssid':'2fec42f6c8c74ed119d243ddeedc9d1439504b67943fdf410e4f03a0427e8638', 'sec':0, 'channel':6, 'rssi':-68}
2023-01-22 19:26:42: {'ssid':'R33', 'bssid':'9cd52975b2fe23ae82b23de68bb86e8221ac60a875079b13a2dd087f047cae74', 'sec':3, 'channel':6, 'rssi':-69}
2023-01-22 19:26:42: {'ssid':'R31', 'bssid':'635ef13b4af9a2b08007afba106cccf6b5a2297cc1e07d42d3b35668b7f6156e', 'sec':0, 'channel':1, 'rssi':-72}
2023-01-22 19:26:42: {'ssid':'R32', 'bssid':'817b3cc2565877b78702849bd72e04dc437d47e3ac52c002d8fc08190d6b3be1', 'sec':3, 'channel':1, 'rssi':-73}
2023-01-22 19:26:42: {'ssid':'R33', 'bssid':'6fa76d966039248c01088358ef21d2f688ac1d2b73729e9ce8e149823497281b', 'sec':3, 'channel':1, 'rssi':-73}
2023-01-22 19:26:42: {'ssid':'R36', 'bssid':'f4f2fb88ddbd67d815b2ea2e6f65f717b140f864db93db8be3816b994f8b279a', 'sec':4, 'channel':4, 'rssi':-77}
2023-01-22 19:26:42: {'ssid':'R37', 'bssid':'084ce8e743da176843255b7cc398e0a4431e18d66b3318bd6a05cd2c66681df8', 'sec':3, 'channel':6, 'rssi':-80}
2023-01-22 19:26:42: {'ssid':'R31', 'bssid':'a13b9bd79df94d8b57dee09ae15ce902aec15a3fca0a7afc61fa0a80eaee481e', 'sec':0, 'channel':11, 'rssi':-81}
2023-01-22 19:26:42: {'ssid':'R33', 'bssid':'da24b73ae232bff70bd15223a69cccba0c29aa716625bf5c59b838c499b31456', 'sec':3, 'channel':11, 'rssi':-81}
2023-01-22 19:26:42: {'ssid':'R312', 'bssid':'56fe14dfcdcd3bcdc62b59dec8c20b246633ac3d18617e21db857e952ce90aae', 'sec':4, 'channel':4, 'rssi':-82}
2023-01-22 19:26:42: {'ssid':'R32', 'bssid':'d23e55687c6fac5ec363443919e164704d10d60cdc4e474d85287e89338225cc', 'sec':3, 'channel':11, 'rssi':-82}
2023-01-22 19:26:42: {'ssid':'R39', 'bssid':'9b1651f590dcad3078dd563ca4c8246bbaf38fdbbef0b827d68fa0aa2501cc7a', 'sec':4, 'channel':11, 'rssi':-87}
2023-01-22 19:26:42: {'ssid':'R32', 'bssid':'78f434e75853657de0613946aef9b76dcdbdcdd1a2d9e8c3199facb58ff07a55', 'sec':3, 'channel':1, 'rssi':-88}
2023-01-22 19:26:42: {'ssid':'R33', 'bssid':'e559c1c081ccfc8c00fe758e460f8f10de610d3773e98c71e652ba2a07291434', 'sec':3, 'channel':1, 'rssi':-89}
