Testing SD card write operations: 2022-06-09 16:54:51
2022-06-09 16:55:44: {'Acceleration': '(0.4595947, 0.02685547, 0.8884277)', 'Roll': '-27.35309', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.533274'}
2022-06-09 16:55:45: {'Acceleration': '(0.4632568, 0.02722168, 0.8902588)', 'Roll': '-27.13096', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.65429'}
2022-06-09 16:55:45: {'Acceleration': '(0.4631348, 0.02856445, 0.8885498)', 'Roll': '-27.52967', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.567763'}
2022-06-09 16:55:46: {'Acceleration': '(0.4569092, 0.0234375, 0.8900146)', 'Roll': '-27.26507', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.335445'}
2022-06-09 16:55:47: {'Acceleration': '(0.4437256, 0.01818848, 0.8972168)', 'Roll': '-26.31506', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-1.041025'}
2022-06-09 16:55:48: {'Acceleration': '(0.4448242, 0.01806641, 0.8902588)', 'Roll': '-26.60589', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.870953'}
2022-06-09 16:55:49: {'Acceleration': '(0.4118652, -0.0144043, 0.923584)', 'Roll': '-24.03412', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.8160633'}
2022-06-09 16:55:50: {'Acceleration': '(0.3908691, -0.01989746, 0.9251709)', 'Roll': '-22.90324', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '1.134954'}
2022-06-09 16:55:51: {'Acceleration': '(0.3580322, -0.08166504, 0.9243164)', 'Roll': '-21.17378', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.448314'}
2022-06-09 16:55:51: {'Acceleration': '(0.3848877, -0.07568359, 0.9178467)', 'Roll': '-23.85066', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.782577'}
2022-06-09 16:55:52: {'Acceleration': '(0.2667236, -0.1018066, 0.963501)', 'Roll': '-15.47356', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.893217'}
2022-06-09 16:55:53: {'Acceleration': '(0.2624512, -0.09716797, 0.9765625)', 'Roll': '-14.25847', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.604544'}
2022-06-09 16:55:54: {'Acceleration': '(0.2272949, -0.08947754, 1.075928)', 'Roll': '-11.92862', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.651756'}
2022-06-09 16:55:55: {'Acceleration': '(0.2224121, -0.09753418, 0.9764404)', 'Roll': '-12.83182', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.562659'}
2022-06-09 16:55:56: {'Acceleration': '(0.2266846, -0.09338379, 0.9827881)', 'Roll': '-12.98838', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '5.316012'}
2022-06-09 16:55:56: {'Acceleration': '(0.381958, -0.03710938, 0.9522705)', 'Roll': '-23.32499', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.655867'}
2022-06-09 16:55:57: {'Acceleration': '(0.2941895, -0.06896973, 0.892334)', 'Roll': '-18.24663', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.760377'}
2022-06-09 16:55:58: {'Acceleration': '(0.2429199, -0.09741211, 1.037964)', 'Roll': '-11.57128', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.347306'}
2022-06-09 16:55:59: {'Acceleration': '(0.2629395, -0.09545898, 0.973999)', 'Roll': '-15.10736', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.405237'}
2022-06-09 16:56:00: {'Acceleration': '(0.2530518, -0.1132813, 0.9538574)', 'Roll': '-14.70024', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.553056'}
2022-06-09 16:56:01: {'Acceleration': '(0.2510986, -0.1071777, 0.9729004)', 'Roll': '-14.47182', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.088586'}
2022-06-09 16:56:02: {'Acceleration': '(0.2541504, -0.1068115, 0.9793701)', 'Roll': '-14.12437', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.994168'}
2022-06-09 16:56:02: {'Acceleration': '(0.2689209, -0.0078125, 0.9848633)', 'Roll': '-15.27254', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.400426'}
