Testing SD card write operations: 2022-07-08 08:57:42
2022-07-08 08:58:42: {'Acceleration': '(-0.37146, -0.03564453, 0.9523926)', 'Roll': '21.24521', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.018618'}
2022-07-08 08:58:43: {'Acceleration': '(-0.3730469, -0.03759766, 0.9519043)', 'Roll': '21.27249', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.107888'}
2022-07-08 08:58:44: {'Acceleration': '(-0.3713379, -0.03601074, 0.9550781)', 'Roll': '21.24626', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.919157'}
2022-07-08 08:58:44: {'Acceleration': '(-0.3726807, -0.03515625, 0.9594727)', 'Roll': '21.3917', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.952025'}
2022-07-08 08:58:45: {'Acceleration': '(-0.3731689, -0.03613281, 0.9475098)', 'Roll': '21.32385', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.034509'}
2022-07-08 08:58:46: {'Acceleration': '(-0.3696289, -0.03735352, 0.9505615)', 'Roll': '21.24873', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.058179'}
2022-07-08 08:58:47: {'Acceleration': '(-0.3773193, -0.03735352, 0.949707)', 'Roll': '21.49196', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.049585'}
2022-07-08 08:58:48: {'Acceleration': '(-0.3704834, -0.03771973, 0.9476318)', 'Roll': '21.35337', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '2.123082'}
2022-07-08 08:58:49: {'Acceleration': '(-0.3690186, -0.03503418, 0.9576416)', 'Roll': '21.11533', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.050913'}
2022-07-08 08:58:50: {'Acceleration': '(-0.3731689, -0.03552246, 0.9504395)', 'Roll': '21.48734', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.991782'}
2022-07-08 08:58:50: {'Acceleration': '(-0.3717041, -0.0378418, 0.9544678)', 'Roll': '21.27773', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.115794'}
2022-07-08 08:58:51: {'Acceleration': '(-0.3739014, -0.03564453, 0.9506836)', 'Roll': '21.37395', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.992817'}
2022-07-08 08:58:52: {'Acceleration': '(-0.3699951, -0.03674316, 0.9550781)', 'Roll': '21.17625', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.054521'}
2022-07-08 08:58:53: {'Acceleration': '(-0.3743896, -0.03674316, 0.9576416)', 'Roll': '21.17431', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.046991'}
2022-07-08 08:58:54: {'Acceleration': '(-0.3734131, -0.03564453, 0.9506836)', 'Roll': '21.44409', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.998701'}
2022-07-08 08:58:55: {'Acceleration': '(-0.3723145, -0.03747559, 0.9537354)', 'Roll': '21.32443', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.096279'}
2022-07-08 08:58:56: {'Acceleration': '(-0.3743896, -0.03662109, 0.9527588)', 'Roll': '21.45251', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.048827'}
2022-07-08 08:58:57: {'Acceleration': '(-0.3693848, -0.03710938, 0.951416)', 'Roll': '21.21857', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.082364'}
2022-07-08 08:58:57: {'Acceleration': '(-0.3693848, -0.0369873, 0.9537354)', 'Roll': '21.17155', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.069487'}
2022-07-08 08:58:58: {'Acceleration': '(-0.3693848, -0.03662109, 0.9556885)', 'Roll': '21.1321', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.047004'}
2022-07-08 08:58:59: {'Acceleration': '(-0.3721924, -0.03613281, 0.9525146)', 'Roll': '21.34293', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.052073'}
2022-07-08 08:59:00: {'Acceleration': '(-0.3707275, -0.03747559, 0.9554443)', 'Roll': '21.20704', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.094201'}
2022-07-08 08:59:01: {'Acceleration': '(-0.3710938, -0.03503418, 0.9506836)', 'Roll': '21.32289', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.114306'}
2022-07-08 08:59:02: {'Acceleration': '(-0.3641357, -0.03881836, 0.9501953)', 'Roll': '21.09618', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.18277'}
2022-07-08 08:59:03: {'Acceleration': '(-0.3693848, -0.03601074, 0.9528809)', 'Roll': '21.18885', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.018069'}
2022-07-08 08:59:04: {'Acceleration': '(-0.3666992, -0.0378418, 0.9498291)', 'Roll': '21.18687', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.017717'}
2022-07-08 08:59:04: {'Acceleration': '(-0.3690186, -0.03637695, 0.9550781)', 'Roll': '21.1253', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.034761'}
2022-07-08 08:59:05: {'Acceleration': '(-0.369873, -0.03601074, 0.9520264)', 'Roll': '21.23171', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.019293'}
2022-07-08 08:59:06: {'Acceleration': '(-0.369873, -0.03930664, 0.9611816)', 'Roll': '21.22452', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.979848'}
2022-07-08 08:59:07: {'Acceleration': '(-0.3706055, -0.03637695, 0.9533691)', 'Roll': '21.24272', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.036788'}
2022-07-08 08:59:08: {'Acceleration': '(-0.3702393, -0.03466797, 0.9500732)', 'Roll': '21.29064', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.947271'}
2022-07-08 08:59:09: {'Acceleration': '(-0.3688965, -0.03710938, 0.9515381)', 'Roll': '21.19054', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.090761'}
2022-07-08 08:59:10: {'Acceleration': '(-0.371582, -0.0369873, 0.9470215)', 'Roll': '21.08606', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.959479'}
2022-07-08 08:59:10: {'Acceleration': '(-0.3687744, -0.03674316, 0.949707)', 'Roll': '21.22136', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.05792'}
2022-07-08 08:59:11: {'Acceleration': '(-0.3721924, -0.03686523, 0.9534912)', 'Roll': '21.28088', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.08814'}
2022-07-08 08:59:12: {'Acceleration': '(-0.3709717, -0.03601074, 0.9573975)', 'Roll': '21.41034', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.077608'}
2022-07-08 08:59:13: {'Acceleration': '(-0.3684082, -0.03723145, 0.9525146)', 'Roll': '21.14519', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.097879'}
2022-07-08 08:59:14: {'Acceleration': '(-0.3676758, -0.03588867, 0.9515381)', 'Roll': '21.12661', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.02361'}
2022-07-08 08:59:15: {'Acceleration': '(-0.3642578, -0.0357666, 0.9508057)', 'Roll': '20.98771', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.073222'}
2022-07-08 08:59:16: {'Acceleration': '(-0.3681641, -0.03442383, 0.9552002)', 'Roll': '21.07822', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.934777'}
2022-07-08 08:59:17: {'Acceleration': '(-0.3692627, -0.03588867, 0.9522705)', 'Roll': '21.19484', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.076868'}
2022-07-08 08:59:17: {'Acceleration': '(-0.3671875, -0.03527832, 0.9489746)', 'Roll': '20.92487', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.024976'}
2022-07-08 08:59:18: {'Acceleration': '(-0.3690186, -0.03796387, 0.9515381)', 'Roll': '21.19693', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.122974'}
2022-07-08 08:59:19: {'Acceleration': '(-0.3656006, -0.03808594, 0.9508057)', 'Roll': '21.06466', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.07987'}
2022-07-08 08:59:20: {'Acceleration': '(-0.3699951, -0.03686523, 0.9558105)', 'Roll': '21.10674', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.975623'}
2022-07-08 08:59:21: {'Acceleration': '(-0.3675537, -0.03759766, 0.9508057)', 'Roll': '21.13505', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '2.112284'}
2022-07-08 08:59:22: {'Acceleration': '(-0.3707275, -0.0357666, 0.9499512)', 'Roll': '21.31869', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.198777'}
2022-07-08 08:59:23: {'Acceleration': '(-0.3665771, -0.03796387, 0.9558105)', 'Roll': '21.02965', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.046293'}
2022-07-08 08:59:23: {'Acceleration': '(-0.3691406, -0.03759766, 0.9521484)', 'Roll': '21.19093', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '2.135157'}
2022-07-08 08:59:24: {'Acceleration': '(-0.3671875, -0.03564453, 0.9509277)', 'Roll': '21.11337', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.003842'}
2022-07-08 08:59:25: {'Acceleration': '(-0.3691406, -0.03991699, 0.9538574)', 'Roll': '20.91737', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.082229'}
2022-07-08 08:59:26: {'Acceleration': '(-0.3682861, -0.03735352, 0.9532471)', 'Roll': '21.12399', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.0551'}
2022-07-08 08:59:27: {'Acceleration': '(-0.3671875, -0.03613281, 0.9588623)', 'Roll': '21.06897', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.101067'}
2022-07-08 08:59:28: {'Acceleration': '(-0.369751, -0.03710938, 0.9504395)', 'Roll': '21.25761', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.08395'}
