Testing SD card write operations: 2022-05-20 19:55:37
2022-05-20 19:56:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '091ed5e499b52e6462905630637faf98eb8f82d534907e046f872c8a', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfe7a8d8b5321439e12d0af90f877518832a519565b017760c985b79', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:56:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7d6cc1ec1a18f49c224fffd72651c2572e2073707a22bf1299f35f05', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7d6cc1ec1a18f49c224fffd72651c2572e2073707a22bf1299f35f05', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a278084d97a4643577d147162b5ca8413ae4404019fce4f0f5c062d3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc648d32ed5d6381a70fc43508c815f55bd59bf4bd66704ced459bbd', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-20 19:56:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc648d32ed5d6381a70fc43508c815f55bd59bf4bd66704ced459bbd', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-20 19:56:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '353be4f780133005a7028fe5dd9596668556cc75baf5165a413f7367', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '575e6444cbfca2e771eaf8066e66df8b62cbfd7c1e0839949735317d', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '98f212627c2d716ad4512749d6833da59f6a466534e86d77efb16003', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e0d5b0a5f1faee74cda1bc6d84f65eba06e6ca3c8984a7fb3748b44a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '353be4f780133005a7028fe5dd9596668556cc75baf5165a413f7367', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '575e6444cbfca2e771eaf8066e66df8b62cbfd7c1e0839949735317d', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3b75830eea8fb5290f4a4c84a8adf60e2bfa90908736866e0047a046', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03cad4910a30aa44241f414122635511eb4637856a5982e75702b65a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fc0253bf37bbf178f03d83dc16efbe5ee1041396622d629d69460ebd', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03cad4910a30aa44241f414122635511eb4637856a5982e75702b65a', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88899c7d02f61e0fcdac0808dc985dff6aa425e87e3362534c0406a7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:56:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7fecc57c1fdbe6ee38533d46e8d55a234eada617719455a19d02ce4', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fc0253bf37bbf178f03d83dc16efbe5ee1041396622d629d69460ebd', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '750084fc1f46cbbdff2fb119c78ca49c65beff18ee49c224e340ac09', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -100, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b903e62e21d820cffdacf680c0bbae2a5076eee7d58204a600b54341', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8d5c4c5f28c31195644d6bcd36f731e5e69f49dea17b354e91c2a872', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '83b9a8de5eef7607d1761e5879ddec277743daa85d177824f9c772bc', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ae5750496fa6e54dd307f0626c4256b85b99d3dcd64a6b01d29eac30', 'rssi': -87, 'name': 'Pb30', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-05-20 19:56:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b00bf22ac7737c9f7a600a9c27bd381af45b3ffbacb8e91970cb6df', 'rssi': -87, 'name': 'Pb31', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-05-20 19:56:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b38f5d0b84e3c4c65060f35528336e4b911dd6194aff0bfb04896c84', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c1564fd6f6461125847e456fc8b340f833eac2ae723b70abab4dc430', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '02210111721f7fe4ee9aed8fef0ec3a858e3efc6cfcb3c80e4e669ed', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3dee02bb9e5cd2a01964b38c2efe4e9036a091eba437a39dc4248102', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:56:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0cc21f4e04a66f7f1a432dde7c4171e8aed25623d8bd5780247568e2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7f056258905ac86d1fa581f3e0cf295c777805bb572f0910857deb89', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f0e44b1cc9915ece16ac29464e54b9b7595a940582c683163cdc580d', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:56:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '660250526e2e3e354839fb35991c1d485ed43aa8bac64fd67dd7f266', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c2370ccbde42f7e636a9f63463a02c97Pb318d0d85126bb7fc9b918bd9', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6314635678c331b2a734a20ce5f5d8cc597ee3fbb35281388356063e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a2c2bed5ea22c342612b179c90e84464474cfff0ef89a995642a62d0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
