File is openned: 2022-03-30 09:54:23
2022-03-30 09:55:29: {'Acceleration': '(-0.173584, 0.07080078, 0.9869385)', 'Roll': '9.97523', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.04142'}
2022-03-30 09:55:30: {'Acceleration': '(-0.1715088, 0.07263184, 0.9880371)', 'Roll': '9.847583', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.856704'}
2022-03-30 09:55:31: {'Acceleration': '(-0.1715088, 0.06738281, 0.991333)', 'Roll': '9.81548', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.92851'}
2022-03-30 09:55:32: {'Acceleration': '(-0.1756592, 0.06750488, 1.000488)', 'Roll': '9.958121', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.849259'}
2022-03-30 09:55:34: {'Acceleration': '(-0.1710205, 0.06945801, 0.984375)', 'Roll': '9.85591', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.976754'}
2022-03-30 09:55:35: {'Acceleration': '(-0.1733398, 0.07348633, 0.9868164)', 'Roll': '9.962689', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.194856'}
2022-03-30 09:55:36: {'Acceleration': '(-0.1745605, 0.07324219, 0.9824219)', 'Roll': '10.07538', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-4.198151'}
2022-03-30 09:55:37: {'Acceleration': '(-0.1694336, 0.06738281, 0.9777832)', 'Roll': '9.830786', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.884532'}
2022-03-30 09:55:38: {'Acceleration': '(-0.1694336, 0.06555176, 0.9854736)', 'Roll': '9.755548', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.750723'}
2022-03-30 09:55:39: {'Acceleration': '(-0.1756592, 0.0670166, 0.9980469)', 'Roll': '9.805168', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.785566'}
2022-03-30 09:55:40: {'Acceleration': '(-0.1748047, 0.07177734, 0.9946289)', 'Roll': '9.831378', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-4.067181'}
2022-03-30 09:55:41: {'Acceleration': '(-0.171875, 0.07263184, 0.9875488)', 'Roll': '10.30547', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-4.138772'}
2022-03-30 09:55:42: {'Acceleration': '(-0.171875, 0.07080078, 0.9906006)', 'Roll': '10.1171', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.024769'}
2022-03-30 09:55:43: {'Acceleration': '(-0.1751709, 0.07080078, 0.9901123)', 'Roll': '10.03296', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.751239'}
