Testing SD card write operations: 2022-07-08 06:08:26
2022-07-08 06:09:08: {'ssid':'H717', 'bssid':'752a9e57c74e7ccdb6428581a37b86e593890dee09314ed5567558fa', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-08 06:09:08: {'ssid':'H74', 'bssid':'859db8565d66754c689131561ba7188d1b2292a1742eb6c961149ca2', 'sec':4, 'channel':1, 'rssi':-83}
2022-07-08 06:09:08: {'ssid':'H77', 'bssid':'8ac61a09b3912af2bb280509292b1df526688aef3dccfba77f3d2b6b', 'sec':4, 'channel':11, 'rssi':-84}
2022-07-08 06:09:08: {'ssid':'H710', 'bssid':'4c3090a1614ca5129a98e2428d3b31cad797bac27e4b614994fb830b', 'sec':4, 'channel':4, 'rssi':-91}
2022-07-08 06:09:08: {'ssid':'H719', 'bssid':'b2d6bf8bc02b8aabe4adf1dd5a899a51246f8d3a85c9925b9ba68e2a', 'sec':4, 'channel':6, 'rssi':-93}
2022-07-08 06:09:10: {'ssid':'H70', 'bssid':'d76f440b2c0113910a1eb1d0cbb19a429a47e5fdd80effbf1c7fb1c2', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 06:09:10: {'ssid':'H71', 'bssid':'594407a1b5a9f92d899f3d6a20d3b761cd207ce15d73acaf90acfc88', 'sec':4, 'channel':1, 'rssi':-59}
2022-07-08 06:09:10: {'ssid':'H72', 'bssid':'3a1708ba7e6f3aaa9f465ca0ddccec7684d6105a1a756bc61a968c87', 'sec':4, 'channel':1, 'rssi':-67}
2022-07-08 06:09:10: {'ssid':'H75', 'bssid':'aea135936604b251596fe2f63dec82b0a76b46532887f7074ca14ebf', 'sec':4, 'channel':6, 'rssi':-73}
2022-07-08 06:09:10: {'ssid':'H76', 'bssid':'4ade89a709d982e7df15f52cef4659faa54e8d2c840dc96a6a8ce907', 'sec':4, 'channel':1, 'rssi':-78}
2022-07-08 06:09:10: {'ssid':'H79', 'bssid':'162e2f04044309cee378c12ae7b083f5ee5411dc236f940e69022577', 'sec':4, 'channel':3, 'rssi':-82}
2022-07-08 06:09:10: {'ssid':'H73', 'bssid':'e33c26fcfd70bdead03cafdb6bc503cf955825c00b936100ada05c84', 'sec':4, 'channel':1, 'rssi':-83}
2022-07-08 06:09:10: {'ssid':'H77', 'bssid':'8ac61a09b3912af2bb280509292b1df526688aef3dccfba77f3d2b6b', 'sec':4, 'channel':11, 'rssi':-83}
