Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:21:26: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-61}
2022-07-08 16:21:28: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 16:21:28: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-62}
2022-07-08 16:21:28: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-65}
2022-07-08 16:21:30: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 16:21:30: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-63}
2022-07-08 16:21:30: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-69}
2022-07-08 16:21:32: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 16:21:32: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-65}
2022-07-08 16:21:32: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-08 16:21:34: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 16:21:34: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-63}
2022-07-08 16:21:34: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-70}
2022-07-08 16:21:36: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-08 16:21:36: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-57}
2022-07-08 16:21:36: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-71}
2022-07-08 16:21:38: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-08 16:21:38: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-62}
2022-07-08 16:21:38: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-69}
2022-07-08 16:21:40: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 16:21:40: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-60}
2022-07-08 16:21:40: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-70}
2022-07-08 16:21:41: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-08 16:21:41: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-70}
2022-07-08 16:21:43: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:21:43: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-62}
2022-07-08 16:21:43: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-69}
2022-07-08 16:21:43: {'ssid':'T11', 'bssid':'7ea2a62bd2b2e4ae2cec6015fdb3cafb83607be6f456bbd9c864b630', 'sec':0, 'channel':6, 'rssi':-87}
2022-07-08 16:21:45: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-59}
2022-07-08 16:21:45: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-61}
2022-07-08 16:21:45: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-08 16:21:47: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:21:47: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-63}
2022-07-08 16:21:47: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-08 16:21:49: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 16:21:49: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-59}
2022-07-08 16:21:49: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-68}
2022-07-08 16:21:51: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-08 16:21:51: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-59}
2022-07-08 16:21:51: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-08 16:21:53: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 16:21:53: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-61}
2022-07-08 16:21:53: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-71}
2022-07-08 16:21:55: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
