Testing SD card write operations: 2022-05-22 10:48:40
2022-05-22 10:50:15: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-22 10:50:17: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-22 10:50:19: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-22 10:50:19: {'ssid':'R15', 'bssid':'cb9e00fe524f9c87e4ec36deb0211ca53f634a4f681161f1ebfc184d', 'sec':3, 'channel':11, 'rssi':-81}
2022-05-22 10:50:19: {'ssid':'R17', 'bssid':'b56379fea69e7d875e6552883d4e9ce5bb95d1c2fc47cf5df82ec81f', 'sec':3, 'channel':6, 'rssi':-90}
2022-05-22 10:50:21: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:21: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-48}
2022-05-22 10:50:21: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-22 10:50:21: {'ssid':'R13', 'bssid':'b9b4ce3e5ea002e7bb6db8f4f5146218fc312f49d86be57c35178917', 'sec':4, 'channel':4, 'rssi':-89}
2022-05-22 10:50:23: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-44}
2022-05-22 10:50:23: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-48}
2022-05-22 10:50:23: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-60}
2022-05-22 10:50:23: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-80}
2022-05-22 10:50:23: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-81}
2022-05-22 10:50:23: {'ssid':'R17', 'bssid':'b56379fea69e7d875e6552883d4e9ce5bb95d1c2fc47cf5df82ec81f', 'sec':3, 'channel':6, 'rssi':-89}
2022-05-22 10:50:25: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:25: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-49}
2022-05-22 10:50:25: {'ssid':'R18', 'bssid':'4a4b44cce62aaba777b5d35a9312a9acda21a50d5dedab914073d1b9', 'sec':5, 'channel':3, 'rssi':-93}
2022-05-22 10:50:27: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-61}
2022-05-22 10:50:29: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:29: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-48}
2022-05-22 10:50:29: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-61}
2022-05-22 10:50:30: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:30: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:30: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-60}
2022-05-22 10:50:30: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-78}
2022-05-22 10:50:30: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-78}
2022-05-22 10:50:32: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-71}
2022-05-22 10:50:32: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-82}
2022-05-22 10:50:34: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-62}
2022-05-22 10:50:38: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:38: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:38: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-65}
2022-05-22 10:50:38: {'ssid':'R15', 'bssid':'cb9e00fe524f9c87e4ec36deb0211ca53f634a4f681161f1ebfc184d', 'sec':3, 'channel':11, 'rssi':-79}
2022-05-22 10:50:40: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:40: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-62}
2022-05-22 10:50:40: {'ssid':'R17', 'bssid':'b56379fea69e7d875e6552883d4e9ce5bb95d1c2fc47cf5df82ec81f', 'sec':3, 'channel':6, 'rssi':-90}
2022-05-22 10:50:42: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:42: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:42: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-22 10:50:42: {'ssid':'R15', 'bssid':'cb9e00fe524f9c87e4ec36deb0211ca53f634a4f681161f1ebfc184d', 'sec':3, 'channel':11, 'rssi':-81}
2022-05-22 10:50:44: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:44: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-48}
2022-05-22 10:50:44: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-60}
2022-05-22 10:50:44: {'ssid':'R19', 'bssid':'64111de5c7bbd26a3fbb26e56f9efb8ef7d1daf8a54732a20d4505e0', 'sec':3, 'channel':6, 'rssi':-91}
2022-05-22 10:50:46: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-44}
2022-05-22 10:50:46: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-46}
2022-05-22 10:50:46: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-61}
2022-05-22 10:50:46: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-76}
2022-05-22 10:50:46: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-22 10:50:48: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:48: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-47}
2022-05-22 10:50:48: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-56}
