File is openned: 2022-05-22 10:48:46
2022-05-22 10:50:26: {'Acceleration': '(-0.5650635, 0.7644043, 0.3326416)', 'Roll': '59.55875', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.34079'}
2022-05-22 10:50:27: {'Acceleration': '(-0.5686035, 0.7670898, 0.3389893)', 'Roll': '59.19751', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.28912'}
2022-05-22 10:50:28: {'Acceleration': '(-0.5717773, 0.763916, 0.3361816)', 'Roll': '59.69613', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.32212'}
2022-05-22 10:50:29: {'Acceleration': '(-0.5671387, 0.7642822, 0.3365479)', 'Roll': '59.31452', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.21001'}
2022-05-22 10:50:30: {'Acceleration': '(-0.5704346, 0.7650146, 0.3372803)', 'Roll': '58.80241', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.2035'}
2022-05-22 10:50:31: {'Acceleration': '(-0.5637207, 0.7650146, 0.3374023)', 'Roll': '59.09832', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.34469'}
2022-05-22 10:50:33: {'Acceleration': '(-0.5682373, 0.7640381, 0.3353271)', 'Roll': '59.45437', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.17233'}
2022-05-22 10:50:34: {'Acceleration': '(-0.5681152, 0.7668457, 0.3358154)', 'Roll': '59.47263', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.24665'}
2022-05-22 10:50:35: {'Acceleration': '(-0.5667725, 0.7661133, 0.3392334)', 'Roll': '59.09799', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.2323'}
2022-05-22 10:50:36: {'Acceleration': '(-0.5675049, 0.7640381, 0.3342285)', 'Roll': '59.5043', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.20907'}
2022-05-22 10:50:37: {'Acceleration': '(-0.567627, 0.7645264, 0.3391113)', 'Roll': '58.78595', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-48.9886'}
2022-05-22 10:50:38: {'Acceleration': '(-0.5675049, 0.7653809, 0.3355713)', 'Roll': '59.40375', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.25857'}
2022-05-22 10:50:39: {'Acceleration': '(-0.5678711, 0.7618408, 0.3370361)', 'Roll': '59.49302', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.27087'}
2022-05-22 10:50:40: {'Acceleration': '(-0.5668945, 0.7646484, 0.3334961)', 'Roll': '59.53229', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.29941'}
2022-05-22 10:50:41: {'Acceleration': '(-0.5703125, 0.7662354, 0.335083)', 'Roll': '59.56394', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.17411'}
2022-05-22 10:50:42: {'Acceleration': '(-0.5726318, 0.7636719, 0.3275146)', 'Roll': '59.89775', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-49.38485'}
2022-05-22 10:50:43: {'Acceleration': '(-0.5705566, 0.7628174, 0.3282471)', 'Roll': '60.08774', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.20884'}
2022-05-22 10:50:44: {'Acceleration': '(-0.567749, 0.7634277, 0.3326416)', 'Roll': '59.48992', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.11394'}
2022-05-22 10:50:45: {'Acceleration': '(-0.5695801, 0.7648926, 0.3339844)', 'Roll': '59.61394', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.19826'}
2022-05-22 10:50:46: {'Acceleration': '(-0.5675049, 0.762085, 0.3323975)', 'Roll': '59.70665', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.31903'}
2022-05-22 10:50:47: {'Acceleration': '(-0.5665283, 0.7626953, 0.3383789)', 'Roll': '59.15075', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.13339'}
2022-05-22 10:50:48: {'Acceleration': '(-0.5689697, 0.7637939, 0.3409424)', 'Roll': '59.26353', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.0422'}
2022-05-22 10:50:49: {'Acceleration': '(-0.5697021, 0.7633057, 0.3319092)', 'Roll': '59.77487', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.17985'}
