Testing SD card write operations: 2022-05-20 09:12:20
2022-05-20 09:14:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:14:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:15:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4c3f739906c7', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-05-20 09:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:15:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4c3f739906c7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-05-20 09:15:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:15:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:15:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6f42b6154a58', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 09:15:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6f42b6154a58', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 09:15:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'cfaa319a1a08', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4c3f739906c7', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-05-20 09:15:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'cfaa319a1a08', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
