Testing SD card write operations: 2022-09-16 16:39:13
2022-09-16 16:40:48: {'Acceleration': '(-0.5219727, 0.1027832, 0.9312744)', 'Roll': '29.27032', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.590268'}
2022-09-16 16:40:49: {'Acceleration': '(-0.4337158, 0.09533691, 0.8668213)', 'Roll': '26.58119', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-6.232773'}
2022-09-16 16:40:50: {'Acceleration': '(-0.4510498, 0.1295166, 0.9053955)', 'Roll': '26.48156', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-7.465415'}
2022-09-16 16:40:50: {'Acceleration': '(-0.4464111, 0.1605225, 0.9412842)', 'Roll': '25.373', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-7.773422'}
2022-09-16 16:40:51: {'Acceleration': '(-0.4550781, 0.09790039, 0.8895264)', 'Roll': '26.76023', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.593408'}
2022-09-16 16:40:52: {'Acceleration': '(-0.4655762, 0.109375, 0.8857422)', 'Roll': '27.35008', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.520989'}
2022-09-16 16:40:53: {'Acceleration': '(-0.4599609, 0.07910156, 0.9171143)', 'Roll': '26.87232', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.156094'}
2022-09-16 16:40:54: {'Acceleration': '(-0.4838867, 0.09619141, 0.9179688)', 'Roll': '27.79495', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.296018'}
2022-09-16 16:40:55: {'Acceleration': '(-0.486084, 0.06921387, 0.9029541)', 'Roll': '28.29475', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-3.861282'}
2022-09-16 16:40:56: {'Acceleration': '(-0.4785156, 0.0838623, 0.9119873)', 'Roll': '27.68579', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-4.655179'}
2022-09-16 16:40:56: {'Acceleration': '(-0.5053711, 0.0904541, 0.8967285)', 'Roll': '29.40439', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-5.06207'}
2022-09-16 16:40:57: {'Acceleration': '(-0.4440918, 0.05603027, 0.9227295)', 'Roll': '25.70061', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-2.795615'}
2022-09-16 16:40:58: {'Acceleration': '(-0.3054199, 0.02319336, 0.9676514)', 'Roll': '17.51727', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-2.722171'}
2022-09-16 16:40:59: {'Acceleration': '(-0.2078857, 0.08618164, 0.9262695)', 'Roll': '12.65109', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-4.486536'}
2022-09-16 16:41:00: {'Acceleration': '(-0.255249, 0.02648926, 0.9884033)', 'Roll': '14.43041', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.43402'}
2022-09-16 16:41:01: {'Acceleration': '(-0.2636719, 0.02697754, 0.9780273)', 'Roll': '14.81804', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.207709'}
2022-09-16 16:41:01: {'Acceleration': '(-0.2598877, 0.0267334, 0.9864502)', 'Roll': '14.75962', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.501171'}
2022-09-16 16:41:02: {'Acceleration': '(-0.260376, 0.0255127, 0.9804688)', 'Roll': '14.87235', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.44064'}
2022-09-16 16:41:03: {'Acceleration': '(-0.2644043, 0.02502441, 0.9924316)', 'Roll': '14.91826', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.395755'}
2022-09-16 16:41:04: {'Acceleration': '(-0.2642822, 0.02148438, 0.9819336)', 'Roll': '15.06389', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.210354'}
2022-09-16 16:41:05: {'Acceleration': '(-0.2655029, 0.02368164, 0.9890137)', 'Roll': '15.02689', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.324018'}
2022-09-16 16:41:06: {'Acceleration': '(-0.2625732, 0.02844238, 0.9814453)', 'Roll': '14.97798', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.800774'}
2022-09-16 16:41:06: {'Acceleration': '(-0.262207, 0.0201416, 0.9821777)', 'Roll': '15.01222', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-1.076106'}
