Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:05:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:15: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5f27820cad6e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'65a10acee2ee', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'33ae84f3dfd8', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'23320ec8e936', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'740e1f6b9864', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 16:05:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'60235041c4b2', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
