Testing SD card write operations: 2022-05-31 10:36:59
2022-05-31 10:37:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c06d53fc06f144978e6191f41bf8adad7f9d9eb54143ddcb5dbdf832', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:37:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d27bb5a1c6b94fab2f0c7ef6159a38905da3eb3f4f544374500157e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5ace8c09d1d9ac06235328b976891dd98662b3fe660cb7e8088951c8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:40: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'd882a36d6ff4c23c3c67e51e3e50a052653ce9d0c09dd850a72365ce', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:41: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'd882a36d6ff4c23c3c67e51e3e50a052653ce9d0c09dd850a72365ce', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6430dc99619b5f5525e0c98c61830ae3552c49cfda13ebbc833d84d9', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e8014ffc0ca40a258b0bca5072b921ab9cec01109987674c8e6316ee', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:37:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5c359f3cd8ef6103007534fa72b3609bafe481a910606e6ec5ef0465', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c3db2fd2aa5b5a7414ee55234894d83ca3e5abaa7e0d4042a5299363', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1fea57262a6498ad81af53b03396856b3244c1aacda5595e6802ca5f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '93da5daeaf54d9007398b0d9a08cc3a0c19db719b58a0ac01b23e4a8', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5c359f3cd8ef6103007534fa72b3609bafe481a910606e6ec5ef0465', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9afe5acdfc00a5257096b050a93aa346500ad89fa564e0184fbddb0b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9afe5acdfc00a5257096b050a93aa346500ad89fa564e0184fbddb0b', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '73f2cb8a7c050293c28b85722048cc9482d2e3e3b5d64ba1a50ead19', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f56d374219c49b30c96048fdcf128ba2af3b1e17afdef5cde2e6efb', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '093e13e130ceb53ba29be20c321a77306f0835087f7f9f79a5208eb0', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:38:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e8014ffc0ca40a258b0bca5072b921ab9cec01109987674c8e6316ee', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:38:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '93da5daeaf54d9007398b0d9a08cc3a0c19db719b58a0ac01b23e4a8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '55ef368ba93761b076073d928edb4ce89109f15101cab6ae69c7c27c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cd19f6194ad0007e3af42253586b34809c1eab71c2cbbe570d96a7f8', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '55ef368ba93761b076073d928edb4ce89109f15101cab6ae69c7c27c', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '84793822af0c0d9b874f5483cca183006605db65acb480b8f77bc983', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5ace8c09d1d9ac06235328b976891dd98662b3fe660cb7e8088951c8', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cb196f9fb01fdb550ae64888cc2bd457b1be4867a282f8e4b61fa59', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:38:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:38:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
