Testing SD card write operations: 2022-06-30 08:16:34
2022-06-30 08:17:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'da03c01683397aa133acd7db8f3e5fb32de9aae36541460758809461', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:17:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
