Testing SD card write operations: 2022-09-13 17:38:34
2022-09-13 17:39:27: {'Acceleration': '(-0.3098145, 0.01708984, 0.9674072)', 'Roll': '17.75779', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.963849'}
2022-09-13 17:39:28: {'Acceleration': '(-0.31604, 0.01940918, 0.9688721)', 'Roll': '18.066', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.091074'}
2022-09-13 17:39:29: {'Acceleration': '(-0.3144531, 0.01806641, 0.9674072)', 'Roll': '18.00661', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.017488'}
2022-09-13 17:39:30: {'Acceleration': '(-0.3145752, 0.01696777, 0.9686279)', 'Roll': '17.99191', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.9545013'}
2022-09-13 17:39:31: {'Acceleration': '(-0.3138428, 0.01757813, 0.9659424)', 'Roll': '17.99941', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9915358'}
2022-09-13 17:39:31: {'Acceleration': '(-0.3135986, 0.01464844, 0.9716797)', 'Roll': '17.8869', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.8219491'}
2022-09-13 17:39:32: {'Acceleration': '(-0.3161621, 0.01940918, 0.9674072)', 'Roll': '18.09811', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.092526'}
2022-09-13 17:39:33: {'Acceleration': '(-0.3145752, 0.01806641, 0.9790039)', 'Roll': '17.81334', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.006535'}
2022-09-13 17:39:34: {'Acceleration': '(-0.3139648, 0.01953125, 0.9665527)', 'Roll': '17.99533', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.101011'}
2022-09-13 17:39:35: {'Acceleration': '(-0.3172607, 0.01721191, 0.9641113)', 'Roll': '18.21486', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9715311'}
2022-09-13 17:39:36: {'Acceleration': '(-0.3135986, 0.02172852, 0.9820557)', 'Roll': '17.70978', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.207445'}
2022-09-13 17:39:36: {'Acceleration': '(-0.315918, 0.01647949, 0.9707031)', 'Roll': '18.17734', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9240801'}
2022-09-13 17:39:37: {'Acceleration': '(-0.3189697, 0.01672363, 0.9674072)', 'Roll': '17.88332', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.019161'}
2022-09-13 17:39:38: {'Acceleration': '(-0.3148193, 0.01855469, 0.96521)', 'Roll': '17.9316', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9272634'}
2022-09-13 17:39:39: {'Acceleration': '(-0.3150635, 0.01623535, 0.9732666)', 'Roll': '17.87912', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9095341'}
