Testing SD card write operations: 2022-07-07 10:00:46
2022-07-07 10:01:42: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-07 10:01:42: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-55}
2022-07-07 10:01:42: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-56}
2022-07-07 10:01:42: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-80}
2022-07-07 10:01:44: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-54}
2022-07-07 10:01:44: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-07 10:01:44: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-57}
2022-07-07 10:01:44: {'ssid':'C25', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':11, 'rssi':-57}
2022-07-07 10:01:44: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-07 10:01:44: {'ssid':'C23', 'bssid':'7eb81bb606f8f5353db79453ed715129c466bf81d8758d918a6afdb9', 'sec':3, 'channel':11, 'rssi':-88}
