Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:32:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '573b56045c2b22088de9fbd51934fc411fcee653cf3505355b0b95c2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0c13fe1b06fae3f6202d647dbad5dc3842e6fe6a40d3d9faafc4fc62', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3fca6d970e77ea9df0b62f20cc3ea9872cfda3fb6f07eca1adfd4701', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-06 13:32:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aaa4ae2ff531e342ce4354008a8877a78e95df64256e9982cd54fd73', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3fca6d970e77ea9df0b62f20cc3ea9872cfda3fb6f07eca1adfd4701', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-06 13:32:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4f4eea226b65c47a114e7d4bed62382d269f49f8c2d8d90dd0b97800', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7c2da85e81b3cd20cc369513b9db59e6acd891b4ceabb35675f1a76c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1dab03774602bcf7c348b069a98970b664d8688971f3ac205973d9ed', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '080d46cd78b0de15143991ead0acca5a895867d08bc837d369be2ee7', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9e256b9d577bc760dcd6a7ad1d52ef8ad20c6746c6afc56a84bb4906', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd6dbe1d55820460e8821605e4c4ecde34a815541ee37ad68c0ebbb8e', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9784e2f9a2eea78389e92357c22810c3b9cb68468f43e75769491885', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0423adf322671a24a4d7c3444d1ecfa642d0caef9d083ab35d3760', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
