Testing SD card write operations: 2023-01-10 12:13:53
2023-01-10 12:14:56: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:57: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:58: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:58: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:59: {'name': None, 'adv_flag': None, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:15:00: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:15:01: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:15:01: {'name': None, 'adv_flag': None, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd23823b5e62603c10a750add13f82b2c054d14e37dc61e0258a92ba7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:15:02: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'fae3caeafd1b2e4a56bd6fe436c8d1f775f689a2377ac24fac2b5c90', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:15:03: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
