Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:50:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f9d2ff634c9c87b0cab8625dc2a35c80a1328ca07a43bb49f796fd97de8738b8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b0fb603e1f4b7ddcd6d1eba75958ed5b0e7833ca24149424428eb498f7d68fc6', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f5625efbf7eed7906f2ffc12d564012c7b99e129a4df4d0d000721f7d84b80cd', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '46a575155e3d82e84429e9bc007fa3e25f532b942be458669d02ef8407d00e2b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:18: {'adv_flag': 4, 'def_tx_pwr': 3, 'mac': '5d23e0ae72981080942876089805c5126904944a03820d69f3d88e7348fd112c', 'rssi': -76, 'name': 'Tb104', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f9d2ff634c9c87b0cab8625dc2a35c80a1328ca07a43bb49f796fd97de8738b8', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb53894d3c9da0e9a4bef442729d8764aff839b31f17b37be586e96b33af96ea', 'rssi': -79, 'name': 'Tb101', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 10, 'adv_tx_pwr': 3}
2022-07-08 21:50:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7a9d294c56601ad51b87f5cd81b1d220c91ad1d5bf17c25162d6796c56f3fed', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd02ef658ed8913a670cb27dc0c5e0885d1e86f6300a67ebb21747367b40047a4', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3ece0c8ff6c955a0fbe6cdd72504b40ec7aaa1467e28c500a6d3c3c54b93aa', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
