Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:25:34: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:25:36: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 21:25:36: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-97}
2022-07-08 21:25:38: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-08 21:25:40: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:25:42: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:25:53: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-08 21:25:57: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:26:08: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:26:11: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:26:13: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:26:21: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:26:26: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:26:28: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-08 21:26:30: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-08 21:26:30: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-93}
