Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:23:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59dcb55ecad4b6ffc088a2216ad4d92db3dd7e1288e7efe80c7a91e41e8d2dcc', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:23:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '457d94d6a8cd6ef93838f26b66c31d49e83099fefecea39c10607905d102a6e0', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03dd4a08132bb4ace8bed6b05fd67bf36204f0477c7a6274260e2e2611d421e7', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '48d13b9a88843164003fcf0114339967b1b26d0804fe0b0c48dd7f03fb3242b1', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:23:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08eb2e1daf7f33fd118da56bb98b3c67fdff12bf794f369493fd74b081e5f4c4', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:23:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4f67ee0b27b4fc305a7ce6da723ff0b994744255e253479fe23575381afa8ae7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08eb2e1daf7f33fd118da56bb98b3c67fdff12bf794f369493fd74b081e5f4c4', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08eb2e1daf7f33fd118da56bb98b3c67fdff12bf794f369493fd74b081e5f4c4', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '46462a443249d7f7eec1c65c8445dc0c8f16fde65383da505ad4baf3fb976d63', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '120f37ba06ec18ac3a7c3f333c9387043dc6b2a9ace450a54ef2a935404191e5', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '30afa34b62b0864a285d4aa70e68d18cc548237dfa7def5de2fb03c7978138b2', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
