Testing SD card write operations: 2022-07-08 21:23:22
2022-07-08 21:24:52: {'Acceleration': '(0.5557861, -0.1893311, 0.8049316)', 'Roll': '-34.62415', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.95452'}
2022-07-08 21:24:53: {'Acceleration': '(0.4199219, -0.2729492, 0.8925781)', 'Roll': '-25.19508', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '15.46709'}
2022-07-08 21:24:54: {'Acceleration': '(0.3666992, -0.1774902, 0.7237549)', 'Roll': '-26.86961', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '7.509635'}
2022-07-08 21:24:55: {'Acceleration': '(0.2591553, -0.1640625, 0.9141846)', 'Roll': '-15.8271', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.796083'}
2022-07-08 21:24:55: {'Acceleration': '(0.2452393, -0.2119141, 0.9731445)', 'Roll': '-15.56117', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.84771'}
2022-07-08 21:24:56: {'Acceleration': '(0.2287598, -0.2114258, 0.9790039)', 'Roll': '-13.15209', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.87599'}
2022-07-08 21:24:57: {'Acceleration': '(0.2562256, -0.2362061, 0.9980469)', 'Roll': '-13.26371', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '13.53988'}
2022-07-08 21:24:58: {'Acceleration': '(0.2503662, -0.1293945, 0.940918)', 'Roll': '-14.90041', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '8.054849'}
2022-07-08 21:24:59: {'Acceleration': '(0.2175293, -0.1374512, 0.9321289)', 'Roll': '-13.13592', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '8.171861'}
2022-07-08 21:25:00: {'Acceleration': '(-0.004272461, -0.01489258, 0.8914795)', 'Roll': '0.2745908', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.007299'}
2022-07-08 21:25:01: {'Acceleration': '(-0.09655762, -0.09802246, 1.001709)', 'Roll': '5.505895', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '5.563274'}
2022-07-08 21:25:02: {'Acceleration': '(-0.2045898, -0.1326904, 1.031616)', 'Roll': '10.02081', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '7.436983'}
2022-07-08 21:25:02: {'Acceleration': '(-0.1571045, -0.08154297, 0.9919434)', 'Roll': '8.99978', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '4.69005'}
2022-07-08 21:25:03: {'Acceleration': '(-0.3199463, -0.08618164, 1.010864)', 'Roll': '17.56298', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '4.64686'}
2022-07-08 21:25:04: {'Acceleration': '(-0.2513428, -0.09570313, 1.001953)', 'Roll': '14.0707', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '5.981322'}
2022-07-08 21:25:05: {'Acceleration': '(-0.2341309, -0.1304932, 1.008057)', 'Roll': '13.07567', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '7.186717'}
2022-07-08 21:25:06: {'Acceleration': '(-0.1907959, -0.0904541, 0.9371338)', 'Roll': '11.50786', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '5.40306'}
2022-07-08 21:25:07: {'Acceleration': '(-0.2481689, -0.09484863, 1.006104)', 'Roll': '13.85618', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.040817'}
2022-07-08 21:25:08: {'Acceleration': '(-0.2241211, -0.1101074, 0.9846191)', 'Roll': '13.36913', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.209185'}
2022-07-08 21:25:09: {'Acceleration': '(-0.2369385, -0.09521484, 0.9890137)', 'Roll': '13.47246', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '5.338097'}
2022-07-08 21:25:09: {'Acceleration': '(-0.2055664, -0.1263428, 0.9677734)', 'Roll': '11.58346', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '7.288055'}
2022-07-08 21:25:10: {'Acceleration': '(-0.2553711, -0.1004639, 1.006714)', 'Roll': '13.23022', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '4.883028'}
