Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:14:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'202773eadd00', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7d99040bfe66', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f413e80e8653', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7d99040bfe66', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7d99040bfe66', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f413e80e8653', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'586ca53a5155', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:15:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
