Testing SD card write operations: 2022-05-26 08:07:53
2022-05-26 08:08:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'79f6f2456703', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:32: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -70, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:32: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -66, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dcd6d9be94e1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:34: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -70, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:36: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -78, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:36: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -68, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:37: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -65, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:39: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -71, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:40: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -65, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:40: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -75, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dcd6d9be94e1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5ca413e5cbf2', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52ef7675fdd5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-26 08:08:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52ef7675fdd5', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-26 08:08:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dcd6d9be94e1', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:46: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -74, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:47: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -82, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:48: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -68, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:48: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -70, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dcd6d9be94e1', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:52: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -71, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5b8688567fab', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:54: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -84, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:55: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -87, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52ef7675fdd5', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-26 08:08:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5b8688567fab', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:08:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'79f6f2456703', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:00: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -72, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:01: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -70, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:04: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c1382c817f', 'rssi': -71, 'name': 'ihoment_H6181_817F', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5b8688567fab', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5b8688567fab', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'177c0bbf42c1', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-26 08:09:08: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -82, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
