Testing SD card write operations: 2022-08-13 13:20:42
2022-08-13 13:22:25: {'Acceleration': '(0.1430664, -0.1838379, 0.9816895)', 'Roll': '-8.291621', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.62761'}
2022-08-13 13:22:26: {'Acceleration': '(0.1379395, -0.1835938, 0.9794922)', 'Roll': '-8.016107', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.5148'}
2022-08-13 13:22:27: {'Acceleration': '(0.1381836, -0.1834717, 0.9902344)', 'Roll': '-7.999422', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.08706'}
2022-08-13 13:22:28: {'Acceleration': '(0.1453857, -0.1806641, 0.9785156)', 'Roll': '-8.451057', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.34964'}
2022-08-13 13:22:29: {'Acceleration': '(0.1467285, -0.1739502, 0.9844971)', 'Roll': '-8.49776', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.14398'}
2022-08-13 13:22:30: {'Acceleration': '(0.1437988, -0.177124, 0.9803467)', 'Roll': '-8.344729', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '10.36061'}
2022-08-13 13:22:31: {'Acceleration': '(0.1483154, -0.180542, 0.9733887)', 'Roll': '-8.663532', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.39042'}
2022-08-13 13:22:32: {'Acceleration': '(0.1425781, -0.1779785, 0.979126)', 'Roll': '-8.483509', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.09532'}
2022-08-13 13:22:32: {'Acceleration': '(0.1488037, -0.1745605, 0.982666)', 'Roll': '-8.610798', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '9.961678'}
2022-08-13 13:22:33: {'Acceleration': '(0.1479492, -0.173584, 0.9801025)', 'Roll': '-8.652541', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '9.837685'}
2022-08-13 13:22:34: {'Acceleration': '(0.1412354, -0.177124, 0.9766846)', 'Roll': '-8.200025', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.34025'}
2022-08-13 13:22:35: {'Acceleration': '(0.1428223, -0.1756592, 0.9691162)', 'Roll': '-8.383545', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '10.16624'}
