Testing SD card write operations: 2022-07-06 14:08:49
2022-07-06 14:09:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7dae0af6082b96cd9ad09c20e833cbeadf0fef855df5bf7a9bfd55b9655a7936', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:09:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '849c7d86ed3e1f8848cf317ac131be54dbc8d727f747f7ced9bdb47c2bb0fdf1', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:09:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e7ce281fc702e5acda7e169aa4e30aad33112ece6c2622004a5d81f025565888', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5510fcda14fa329d5f95819b9ac5e1f0660863830f63ce30ae85a45e9816da28', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5d02f987d29ecc24637a28661bbfcab48368f3de91572893a34576125a8b5895', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '668bb23cf4b69f4dde59aa8c3d95a74e6e5b272fc52e3d9c9a8d1f052d228e25', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-07-06 14:09:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88090f2cb0e61fd34586a0c07db752a80ee1f71ac72c848d39a631eb80a89dc4', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '849c7d86ed3e1f8848cf317ac131be54dbc8d727f747f7ced9bdb47c2bb0fdf1', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:09:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5d02f987d29ecc24637a28661bbfcab48368f3de91572893a34576125a8b5895', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
