Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -34, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6336bad3a7ccbdbef82b4c422f9415b89b20bbf384631eec33610d0c4d37f6da', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '23fa621e098da85697e62d695e70db2fbfcbd0a5faa46fca537ab9bcdafd00b5', 'rssi': -34, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
