Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:58:06: {'ssid':'P411', 'bssid':'cacf03cc239e088c85ff890bb47a74dd64a22c323cf4b7e86a55a72e062f3b6c', 'sec':2, 'channel':6, 'rssi':-93}
2022-06-27 12:58:07: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-27 12:58:07: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-85}
2022-06-27 12:58:07: {'ssid':'P418', 'bssid':'90bdec8b072117a168f0e82debc7e0bcef5501b106aaddf13044a6f5c67d3ddf', 'sec':3, 'channel':6, 'rssi':-91}
2022-06-27 12:58:09: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-54}
2022-06-27 12:58:09: {'ssid':'P411', 'bssid':'ea9bf802c5c55e9218e9d295109f28fdd13b60ff8f1a0c92f001fb87b9a8a863', 'sec':2, 'channel':6, 'rssi':-83}
2022-06-27 12:58:11: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-27 12:58:11: {'ssid':'P411', 'bssid':'ea9bf802c5c55e9218e9d295109f28fdd13b60ff8f1a0c92f001fb87b9a8a863', 'sec':2, 'channel':6, 'rssi':-85}
2022-06-27 12:58:11: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-89}
2022-06-27 12:58:11: {'ssid':'P419', 'bssid':'bd4d21e9c3da908ab04f238d04048848eaef740d8319c9e1e27fcb7a9cc01855', 'sec':5, 'channel':6, 'rssi':-93}
2022-06-27 12:58:13: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-27 12:58:13: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-74}
2022-06-27 12:58:13: {'ssid':'P420', 'bssid':'83fbfccd1e879d0d6ccb13998263b44c215e8f57cef9938f1fef87a1ef732777', 'sec':0, 'channel':1, 'rssi':-96}
