Testing SD card write operations: 2022-09-20 17:01:40
2022-09-20 17:02:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '87ab300a1cebf59e7b5a861b596db67f4f15cb548d463883dbdc658f', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'edf3fb6705c7e14d316d71ba8c8b92d19166d91970498b371d9aeeec', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d32eb54aa4707be8d03630045d9800dac8f2a0250e6d7d41c7b7e0f', 'rssi': -75, 'name': 'Ob80', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d32eb54aa4707be8d03630045d9800dac8f2a0250e6d7d41c7b7e0f', 'rssi': -76, 'name': 'Ob80', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
