Testing SD card write operations: 2022-07-07 19:09:15
2022-07-07 19:10:41: {'Acceleration': '(0.07495117, -0.06408691, 1.002441)', 'Roll': '-4.27597', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '3.823811'}
2022-07-07 19:10:42: {'Acceleration': '(0.07617188, -0.06616211, 1.010254)', 'Roll': '-4.311871', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.736407'}
2022-07-07 19:10:42: {'Acceleration': '(0.07568359, -0.06359863, 1.011719)', 'Roll': '-4.064982', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.587967'}
2022-07-07 19:10:43: {'Acceleration': '(0.07568359, -0.06726074, 1.000122)', 'Roll': '-4.327573', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.793862'}
2022-07-07 19:10:44: {'Acceleration': '(0.07470703, -0.06640625, 1.006958)', 'Roll': '-4.243046', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.762732'}
2022-07-07 19:10:45: {'Acceleration': '(0.07519531, -0.06970215, 1.003906)', 'Roll': '-4.498318', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.95953'}
2022-07-07 19:10:46: {'Acceleration': '(0.0760498, -0.0657959, 1.003418)', 'Roll': '-4.334204', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.855143'}
2022-07-07 19:10:47: {'Acceleration': '(0.07727051, -0.06689453, 1.003662)', 'Roll': '-4.402435', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.843394'}
2022-07-07 19:10:48: {'Acceleration': '(0.07446289, -0.06774902, 1.001831)', 'Roll': '-4.250795', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.858138'}
2022-07-07 19:10:49: {'Acceleration': '(0.07470703, -0.06774902, 1.000977)', 'Roll': '-4.24972', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.650309'}
2022-07-07 19:10:49: {'Acceleration': '(0.07958984, -0.06591797, 1.005859)', 'Roll': '-4.505657', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.656126'}
2022-07-07 19:10:50: {'Acceleration': '(0.07299805, -0.06689453, 1.00061)', 'Roll': '-4.172537', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '3.814637'}
2022-07-07 19:10:51: {'Acceleration': '(0.07629395, -0.06396484, 1.004883)', 'Roll': '-4.360748', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.764193'}
2022-07-07 19:10:52: {'Acceleration': '(0.07507324, -0.06481934, 1.000366)', 'Roll': '-4.441778', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.835325'}
2022-07-07 19:10:53: {'Acceleration': '(0.07580566, -0.06616211, 1.002441)', 'Roll': '-4.324535', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.740542'}
2022-07-07 19:10:54: {'Acceleration': '(0.07751465, -0.06555176, 0.9992676)', 'Roll': '-4.435635', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.742005'}
2022-07-07 19:10:55: {'Acceleration': '(0.07763672, -0.06433105, 0.998291)', 'Roll': '-4.44692', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.67604'}
2022-07-07 19:10:56: {'Acceleration': '(0.0760498, -0.06530762, 1.002686)', 'Roll': '-4.337358', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.715094'}
2022-07-07 19:10:56: {'Acceleration': '(0.07507324, -0.06677246, 1.005493)', 'Roll': '-4.269958', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.788786'}
2022-07-07 19:10:57: {'Acceleration': '(0.07958984, -0.06567383, 1.00415)', 'Roll': '-4.531839', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.730285'}
2022-07-07 19:10:58: {'Acceleration': '(0.07556152, -0.06506348, 1.007324)', 'Roll': '-4.346265', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.997255'}
2022-07-07 19:10:59: {'Acceleration': '(0.07653809, -0.06506348, 1.002441)', 'Roll': '-4.366158', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.723053'}
2022-07-07 19:11:00: {'Acceleration': '(0.07702637, -0.06481934, 1.002319)', 'Roll': '-4.394436', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.678621'}
2022-07-07 19:11:01: {'Acceleration': '(0.07446289, -0.0657959, 1.006714)', 'Roll': '-4.271708', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.729009'}
2022-07-07 19:11:02: {'Acceleration': '(0.0760498, -0.06762695, 1.002197)', 'Roll': '-4.339463', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.849358'}
2022-07-07 19:11:03: {'Acceleration': '(0.07507324, -0.06555176, 1.010132)', 'Roll': '-4.354397', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.780922'}
2022-07-07 19:11:03: {'Acceleration': '(0.0748291, -0.0637207, 1.001831)', 'Roll': '-4.271624', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.62927'}
2022-07-07 19:11:04: {'Acceleration': '(0.07275391, -0.06616211, 1.003296)', 'Roll': '-4.147538', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.763041'}
2022-07-07 19:11:05: {'Acceleration': '(0.0748291, -0.0657959, 0.9993896)', 'Roll': '-4.28202', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.631629'}
2022-07-07 19:11:06: {'Acceleration': '(0.07641602, -0.06750488, 1.005981)', 'Roll': '-4.34394', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.827997'}
2022-07-07 19:11:07: {'Acceleration': '(0.07873535, -0.06640625, 1.002808)', 'Roll': '-4.489363', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.777024'}
2022-07-07 19:11:08: {'Acceleration': '(0.07397461, -0.06481934, 1.00354)', 'Roll': '-4.215857', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.67103'}
2022-07-07 19:11:09: {'Acceleration': '(0.07202148, -0.06408691, 1.005859)', 'Roll': '-4.0955', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.636307'}
2022-07-07 19:11:09: {'Acceleration': '(0.06994629, -0.06298828, 1.004517)', 'Roll': '-3.983178', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.579394'}
2022-07-07 19:11:10: {'Acceleration': '(0.07470703, -0.0657959, 1.003052)', 'Roll': '-4.25951', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.724303'}
