Testing SD card write operations: 2022-07-02 10:05:50
2022-07-02 10:07:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:07:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:07:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:07:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:07:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:07:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:07:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
