Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:08:56: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:08:56: {'ssid':'B314', 'bssid':'725ca8a2d58cc1509f20bce106fd800ded4760cc91933e82af9a8d4b4f5d9b6a', 'sec':3, 'channel':11, 'rssi':-88}
2022-06-25 17:08:57: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 17:08:59: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:08:59: {'ssid':'B314', 'bssid':'725ca8a2d58cc1509f20bce106fd800ded4760cc91933e82af9a8d4b4f5d9b6a', 'sec':3, 'channel':11, 'rssi':-89}
2022-06-25 17:09:01: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 17:09:01: {'ssid':'B315', 'bssid':'8e6a85706da94b82b323cd5243afb4d1800c64e6ebec2682656c5821ccfbb6ef', 'sec':4, 'channel':1, 'rssi':-95}
2022-06-25 17:09:03: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-50}
2022-06-25 17:09:05: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:09:07: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 17:09:08: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 17:09:08: {'ssid':'B323', 'bssid':'ba61786fdc055c6efd0f41cce1a7c7d7ce7c53da363b702cc39cd40a10ce64d7', 'sec':4, 'channel':7, 'rssi':-94}
2022-06-25 17:09:10: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 17:09:12: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 17:09:14: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-49}
2022-06-25 17:09:14: {'ssid':'B324', 'bssid':'de744c2a7735e408f15c388feb3b07e207068bd3170ee0ece08181ea3d1b7388', 'sec':4, 'channel':1, 'rssi':-91}
2022-06-25 17:09:16: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 17:09:18: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:20: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:09:21: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 17:09:23: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:25: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:09:27: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-25 17:09:27: {'ssid':'B36', 'bssid':'d755615218bde2158824045b1834d14eaeb32583eea58bc28c8bccf076b9fce8', 'sec':5, 'channel':1, 'rssi':-92}
2022-06-25 17:09:29: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-42}
