Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:23:49: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-87}
2022-07-07 09:23:51: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-07 09:23:51: {'ssid':'P13', 'bssid':'f8dfe19773fd27ae1e4e20335ab374964a0ef3d00415f66e5c3ee2f24f97b2b5', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-07 09:23:51: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-07 09:23:52: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-07 09:23:52: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-07 09:23:52: {'ssid':'P13', 'bssid':'f8dfe19773fd27ae1e4e20335ab374964a0ef3d00415f66e5c3ee2f24f97b2b5', 'sec':3, 'channel':1, 'rssi':-88}
2022-07-07 09:23:54: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-70}
2022-07-07 09:23:56: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-68}
2022-07-07 09:23:56: {'ssid':'P13', 'bssid':'f8dfe19773fd27ae1e4e20335ab374964a0ef3d00415f66e5c3ee2f24f97b2b5', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-07 09:24:00: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-87}
2022-07-07 09:24:13: {'ssid':'P14', 'bssid':'5ffcd54ab53ebeda2b0ee3bfd85d27d039487ebcf8c346866bc602174c435a68', 'sec':0, 'channel':11, 'rssi':-92}
2022-07-07 09:24:13: {'ssid':'P15', 'bssid':'d5cf72ed078ba125bd2cc2b1ecc1b83d52ab70156723240ce1a30a72ea68265c', 'sec':5, 'channel':11, 'rssi':-93}
2022-07-07 09:24:15: {'ssid':'P13', 'bssid':'f8dfe19773fd27ae1e4e20335ab374964a0ef3d00415f66e5c3ee2f24f97b2b5', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-07 09:24:27: {'ssid':'P16', 'bssid':'4590582a7757c962b3f3c0d0055a6d0994466c72386fb6b6605c92c17ad364ee', 'sec':4, 'channel':9, 'rssi':-93}
2022-07-07 09:24:50: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-94}
2022-07-07 09:24:51: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-95}
2022-07-07 09:24:53: {'ssid':'P17', 'bssid':'982876f09c897707008153c32f10c7972dc7e280bff05d55283865e5ab2aa013', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-07 09:24:53: {'ssid':'P18', 'bssid':'a0aaa660c3e5a830822884a5e374613e5ba6e6b936f6b21b7e79d4b5b5d57e41', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-07 09:24:55: {'ssid':'P17', 'bssid':'982876f09c897707008153c32f10c7972dc7e280bff05d55283865e5ab2aa013', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-07 09:24:55: {'ssid':'P18', 'bssid':'a0aaa660c3e5a830822884a5e374613e5ba6e6b936f6b21b7e79d4b5b5d57e41', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-07 09:24:57: {'ssid':'P17', 'bssid':'982876f09c897707008153c32f10c7972dc7e280bff05d55283865e5ab2aa013', 'sec':3, 'channel':1, 'rssi':-81}
2022-07-07 09:25:01: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-95}
2022-07-07 09:25:04: {'ssid':'P14', 'bssid':'36f6610ef3c9ffef79e4efe19a3feba82f3258ce9db023305e0adca04658cd75', 'sec':0, 'channel':6, 'rssi':-89}
2022-07-07 09:25:04: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:04: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-91}
2022-07-07 09:25:06: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-92}
2022-07-07 09:25:06: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 09:25:12: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 09:25:12: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-94}
2022-07-07 09:25:14: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-90}
2022-07-07 09:25:14: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-91}
2022-07-07 09:25:15: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-92}
