Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:22:47: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '301b41130af665a3af420b7806d0bd8163fc0eb71968b74d41046fb0e0e8574e', 'rssi': -85, 'name': 'Pb10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5a0f470c731905d9668cbe20dc64b8ba192adca01a38adf768e763d805b6e5d4', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '01e429cc34bbffd06b8eceaee33f2dbb7ff7c0bb58c5d9dfaf1fd69e34543455', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:22:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aae7dd144da37db14bc5aa53cd816a2ac2a731fafc7dbd6bb0335ea2e03a1237', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5a0f470c731905d9668cbe20dc64b8ba192adca01a38adf768e763d805b6e5d4', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '01e429cc34bbffd06b8eceaee33f2dbb7ff7c0bb58c5d9dfaf1fd69e34543455', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:22:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '71a542a4322c10664bfae03cd31379e073d968381ce6243d47466067145cf5be', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6e509b840b3645b9cb913aa7a07538992563398ca03a17766d626abaf8e7e65e', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:23:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b57d09d634e2dba01e69e2cebd186e664b8df5fb43ff18cb700ae79e46cf1da4', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:23:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:23:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:23:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:23:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5cd821319cb42d84927f9d95a88e4ffc0a344435b53bd8c2b6e191728c670544', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:23:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '33f5476b410f0a71c046c50538659ff0945c42b15ce7ec6ec63d607a13afc794', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:23:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5ac2161c21a25fbac5fec57665cf33ff74b0960863123793515a56f7985b1f2', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:23:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:23:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:23:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '338134b441d51c0c54bad90de3777f40ea7773348fa143b61492e971177b29eb', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:23:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:23:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5cd821319cb42d84927f9d95a88e4ffc0a344435b53bd8c2b6e191728c670544', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
