Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:14:35: {'ssid':'B610', 'bssid':'f281aab972b97fc920119e950f2fd9af780abe26026c41def6ca9380', 'sec':5, 'channel':6, 'rssi':-87}
2022-07-07 09:14:35: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-91}
2022-07-07 09:14:41: {'ssid':'B610', 'bssid':'f281aab972b97fc920119e950f2fd9af780abe26026c41def6ca9380', 'sec':5, 'channel':6, 'rssi':-85}
2022-07-07 09:14:41: {'ssid':'B618', 'bssid':'8499840ec63db009f8a0155ebdc7016937d11e8ea15ab7442ec206c9', 'sec':0, 'channel':6, 'rssi':-86}
2022-07-07 09:14:43: {'ssid':'B611', 'bssid':'2e79a7e815162069200fbdc85b36c939234606c3d22e5bf67a71a9ce', 'sec':2, 'channel':11, 'rssi':-86}
2022-07-07 09:14:45: {'ssid':'B66', 'bssid':'fcfadc9a4ce171faa0f5cb85952b44706b5bac16e81248b413964878', 'sec':5, 'channel':11, 'rssi':-86}
2022-07-07 09:14:52: {'ssid':'B610', 'bssid':'5a42a2d7d07486a0f71eb108b9ea22d3506ea96bb10d8814d1b95b02', 'sec':5, 'channel':1, 'rssi':-95}
2022-07-07 09:14:56: {'ssid':'B66', 'bssid':'fcfadc9a4ce171faa0f5cb85952b44706b5bac16e81248b413964878', 'sec':5, 'channel':11, 'rssi':-90}
2022-07-07 09:14:56: {'ssid':'B625', 'bssid':'e18b3051bc24bc4a2410f955f61f3268bf41ee8eaf77748f2fdc50a7', 'sec':4, 'channel':1, 'rssi':-93}
2022-07-07 09:14:56: {'ssid':'B610', 'bssid':'5a42a2d7d07486a0f71eb108b9ea22d3506ea96bb10d8814d1b95b02', 'sec':5, 'channel':1, 'rssi':-94}
2022-07-07 09:14:56: {'ssid':'B626', 'bssid':'1568d30158e8ed121fbd9699b07991262138b52702f3417d5831731e', 'sec':4, 'channel':11, 'rssi':-96}
2022-07-07 09:14:57: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-89}
2022-07-07 09:14:57: {'ssid':'B610', 'bssid':'f281aab972b97fc920119e950f2fd9af780abe26026c41def6ca9380', 'sec':5, 'channel':6, 'rssi':-89}
2022-07-07 09:14:59: {'ssid':'B611', 'bssid':'2e79a7e815162069200fbdc85b36c939234606c3d22e5bf67a71a9ce', 'sec':2, 'channel':11, 'rssi':-93}
2022-07-07 09:14:59: {'ssid':'B66', 'bssid':'fcfadc9a4ce171faa0f5cb85952b44706b5bac16e81248b413964878', 'sec':5, 'channel':11, 'rssi':-97}
2022-07-07 09:15:05: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-83}
2022-07-07 09:15:05: {'ssid':'B66', 'bssid':'fcfadc9a4ce171faa0f5cb85952b44706b5bac16e81248b413964878', 'sec':5, 'channel':11, 'rssi':-94}
2022-07-07 09:15:07: {'ssid':'B624', 'bssid':'248f644b9e8abb99ba6ff0079c11afe15a10ab70266a41d53c74d90e', 'sec':4, 'channel':6, 'rssi':-86}
2022-07-07 09:15:07: {'ssid':'B610', 'bssid':'f281aab972b97fc920119e950f2fd9af780abe26026c41def6ca9380', 'sec':5, 'channel':6, 'rssi':-87}
2022-07-07 09:15:07: {'ssid':'B618', 'bssid':'8499840ec63db009f8a0155ebdc7016937d11e8ea15ab7442ec206c9', 'sec':0, 'channel':6, 'rssi':-88}
2022-07-07 09:15:07: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-90}
2022-07-07 09:15:07: {'ssid':'B610', 'bssid':'5a42a2d7d07486a0f71eb108b9ea22d3506ea96bb10d8814d1b95b02', 'sec':5, 'channel':1, 'rssi':-91}
