Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:13:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c984211645d13a02209f22c0fdf221edbb58f7a445df7b16e59fe777800aa7ad', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c984211645d13a02209f22c0fdf221edbb58f7a445df7b16e59fe777800aa7ad', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2724015331f931a127d0ad39bf4880a7a6a6b56d2c367d9edbfa4c40f71af279', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c984211645d13a02209f22c0fdf221edbb58f7a445df7b16e59fe777800aa7ad', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '571c41a8c867d5e3a51d2899fd5f540ea3f8d56ece3fd2d4e44a90286a3acb7c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88627ea932f29f270b58456c7a8c5df33471d1a8b1a8347cf7d5d7724e2cd8c3', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88627ea932f29f270b58456c7a8c5df33471d1a8b1a8347cf7d5d7724e2cd8c3', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:04: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -82, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'faccfcbf12e53d216d4a8af7d77f266ec1cd27cd1717b4a86fe5178d48afcf64', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '571c41a8c867d5e3a51d2899fd5f540ea3f8d56ece3fd2d4e44a90286a3acb7c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413d01faf7f5f979658418234d36c1143f15bde7cbb13673266ad38ed589e2dc', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:14:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b7723eadcd08d059fc56c9beb7438d38918fe1bde7a1ca8cca6fe3120b74d53a', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413d01faf7f5f979658418234d36c1143f15bde7cbb13673266ad38ed589e2dc', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:14:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7c71145b8aaf7dd7272eec8b68e0c1ca6a2d5e12bd57f4773929b1df938dfd3a', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a74e805d3f27a8e46a49a5de7e5ee6c43066359911eb2cfb9932f0b41853ef88', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413d01faf7f5f979658418234d36c1143f15bde7cbb13673266ad38ed589e2dc', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:14:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a74e805d3f27a8e46a49a5de7e5ee6c43066359911eb2cfb9932f0b41853ef88', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '571c41a8c867d5e3a51d2899fd5f540ea3f8d56ece3fd2d4e44a90286a3acb7c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:20: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -77, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a74e805d3f27a8e46a49a5de7e5ee6c43066359911eb2cfb9932f0b41853ef88', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '571c41a8c867d5e3a51d2899fd5f540ea3f8d56ece3fd2d4e44a90286a3acb7c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:14:24: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -77, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ee4178cdbcc712eac8f25f9f4ce7adbc20e3e05c7e43a81f5ffbe366607fd65f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:27: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -87, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'db52258d518afe2c4967ff14001f473b1f50fd23b2a944976cc4e7f5de053f0f', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '47bf21ac7f3831b5c1faebf594a3a5cd53f3339d743a1c8ccab53eb6a6769fe9', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:14:30: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -80, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:14:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'de03340e6372217b200b8b696548dad644387e2cbd8409c02529c4d01ab95ab7', 'rssi': -89, 'name': 'BB61', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -17, 'adv_tx_pwr': 3}
2022-07-07 09:14:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413d01faf7f5f979658418234d36c1143f15bde7cbb13673266ad38ed589e2dc', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:14:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
