Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 08:01:16: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-93}
2022-09-12 08:01:18: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-85}
2022-09-12 08:01:18: {'ssid':'P102', 'bssid':'c0b91fc2b7afe9359660c269528ea3b5f66482ce836bfcf15c5478cb73aebc83', 'sec':0, 'channel':1, 'rssi':-86}
2022-09-12 08:01:20: {'ssid':'P105', 'bssid':'203e1818518857fda8b74909721c6b80ef8bd10523b6a311ff9d15b8021a2a9d', 'sec':3, 'channel':6, 'rssi':-78}
2022-09-12 08:01:20: {'ssid':'P102', 'bssid':'3a9fb40613c683f8c524a0cdb9be94b4fc64617180cf5e1abec64553f8851735', 'sec':0, 'channel':1, 'rssi':-85}
2022-09-12 08:01:20: {'ssid':'P102', 'bssid':'c0b91fc2b7afe9359660c269528ea3b5f66482ce836bfcf15c5478cb73aebc83', 'sec':0, 'channel':1, 'rssi':-87}
2022-09-12 08:01:22: {'ssid':'P102', 'bssid':'3a9fb40613c683f8c524a0cdb9be94b4fc64617180cf5e1abec64553f8851735', 'sec':0, 'channel':1, 'rssi':-86}
2022-09-12 08:01:22: {'ssid':'P101', 'bssid':'275b844dbe244697423167abc60ce18b4a3c0444a1836b6ee0efe484366dd22e', 'sec':5, 'channel':1, 'rssi':-87}
2022-09-12 08:01:22: {'ssid':'P101', 'bssid':'cc8c29ae190147b2127a99968956b905f92d9dfa2fd36c6d3427ad87a5db114f', 'sec':5, 'channel':11, 'rssi':-93}
2022-09-12 08:01:22: {'ssid':'P102', 'bssid':'77d8e4ccf070fc9c9860b12aee44ac75321de15de7d9cb55a786522d205b3f14', 'sec':0, 'channel':11, 'rssi':-93}
2022-09-12 08:01:23: {'ssid':'P102', 'bssid':'3a9fb40613c683f8c524a0cdb9be94b4fc64617180cf5e1abec64553f8851735', 'sec':0, 'channel':1, 'rssi':-87}
